time,Bx,By,Bz,Btotal
2020-09-07 16:9:09.4360,-20.33,6.68,143.99,145.57
2020-09-07 16:9:09.5360,-20.29,6.55,144.33,145.89
2020-09-07 16:9:09.6360,-20.28,6.34,144.17,145.73
2020-09-07 16:9:09.7370,-20.36,6.48,143.9,145.48
2020-09-07 16:9:09.8370,-20.13,6.59,144.17,145.71
2020-09-07 16:9:09.9370,-20.0,6.51,144.29,145.81
2020-09-07 16:9:10.0370,-20.26,6.46,144.08,145.64
2020-09-07 16:9:10.1370,-20.29,6.47,144.14,145.71
2020-09-07 16:9:10.2370,-19.88,6.37,144.11,145.61
2020-09-07 16:9:10.3370,-20.07,6.71,144.05,145.59
2020-09-07 16:9:10.4370,-20.22,6.72,144.11,145.68
2020-09-07 16:9:10.5370,-20.2,6.42,144.19,145.74
2020-09-07 16:9:10.6370,-20.1,6.52,144.13,145.67
2020-09-07 16:9:10.7370,-20.43,6.4,144.04,145.62
2020-09-07 16:9:10.8370,-20.43,6.5,144.1,145.69
2020-09-07 16:9:10.9370,-20.29,6.52,144.18,145.75
2020-09-07 16:9:11.0370,-20.44,6.57,144.14,145.74
2020-09-07 16:9:11.1370,-20.28,6.14,144.01,145.56
2020-09-07 16:9:11.2370,-20.21,6.35,144.07,145.62
2020-09-07 16:9:11.3370,-20.49,6.33,143.91,145.5
2020-09-07 16:9:11.4370,-19.98,6.3,144.17,145.68
2020-09-07 16:9:11.5380,-20.02,6.49,143.93,145.46
2020-09-07 16:9:11.6550,-20.06,6.57,143.81,145.35
2020-09-07 16:9:11.7540,-20.19,6.48,143.88,145.44
2020-09-07 16:9:11.8540,-20.36,6.5,144.04,145.62
2020-09-07 16:9:11.9530,-20.15,6.29,143.88,145.42
2020-09-07 16:9:12.0530,-20.46,6.45,144.02,145.61
2020-09-07 16:9:12.1530,-20.13,6.56,143.85,145.4
2020-09-07 16:9:12.2520,-20.12,6.45,143.97,145.52
2020-09-07 16:9:12.3490,-20.08,6.39,144.1,145.64
2020-09-07 16:9:12.4440,-19.95,6.54,143.91,145.44
2020-09-07 16:9:12.5480,-20.15,6.36,143.82,145.36
2020-09-07 16:9:12.6480,-20.15,6.56,144.02,145.57
2020-09-07 16:9:12.7480,-20.04,6.33,143.92,145.44
2020-09-07 16:9:12.8420,-20.1,6.19,144.05,145.57
2020-09-07 16:9:12.9460,-20.24,6.2,143.94,145.49
