time,Bx,By,Bz,Btotal
2020-09-08 16:16:22.6790,1.39,13.75,-7.07,15.52
2020-09-08 16:16:22.7780,1.42,13.78,-7.11,15.57
2020-09-08 16:16:22.8780,1.32,13.76,-7.19,15.58
2020-09-08 16:16:22.9690,1.62,13.67,-7.16,15.52
2020-09-08 16:16:23.0680,1.14,13.83,-7.23,15.65
2020-09-08 16:16:23.1690,1.27,14.08,-7.38,15.94
2020-09-08 16:16:23.2680,1.16,14.02,-7.13,15.78
2020-09-08 16:16:23.3700,1.07,13.71,-7.46,15.65
2020-09-08 16:16:23.4690,1.4,13.86,-7.26,15.71
2020-09-08 16:16:23.5720,1.15,13.74,-7.18,15.55
2020-09-08 16:16:23.6770,1.2,13.83,-7.12,15.61
2020-09-08 16:16:23.7740,1.04,13.78,-7.3,15.63
2020-09-08 16:16:23.8730,1.41,13.61,-7.15,15.44
2020-09-08 16:16:23.9730,1.41,13.61,-7.29,15.5
2020-09-08 16:16:24.0720,1.18,13.71,-7.26,15.56
2020-09-08 16:16:24.1720,1.24,13.62,-7.35,15.52
2020-09-08 16:16:24.2740,1.28,13.75,-7.1,15.53
2020-09-08 16:16:24.3710,1.22,13.94,-7.5,15.88
2020-09-08 16:16:24.4700,1.4,13.68,-7.35,15.59
2020-09-08 16:16:24.5700,1.33,13.79,-7.32,15.66
2020-09-08 16:16:24.6690,1.34,13.78,-7.39,15.69
2020-09-08 16:16:24.7690,1.25,13.48,-7.41,15.44
2020-09-08 16:16:24.8680,1.2,13.48,-7.41,15.43
2020-09-08 16:16:24.9680,1.35,13.47,-7.24,15.35
2020-09-08 16:16:25.0680,1.55,13.68,-7.22,15.55
2020-09-08 16:16:25.1670,1.19,13.55,-7.39,15.48
2020-09-08 16:16:25.2670,1.08,13.7,-7.48,15.64
2020-09-08 16:16:25.3670,1.45,13.79,-7.51,15.77
2020-09-08 16:16:25.4670,1.36,13.49,-7.53,15.51
2020-09-08 16:16:25.5670,1.13,13.74,-7.19,15.55
2020-09-08 16:16:25.6670,1.17,13.76,-7.41,15.67
2020-09-08 16:16:25.7670,1.19,13.63,-7.36,15.54
2020-09-08 16:16:25.8670,1.5,13.57,-7.45,15.55
2020-09-08 16:16:25.9670,1.33,13.68,-7.62,15.71
2020-09-08 16:16:26.0670,1.31,13.65,-7.48,15.62
2020-09-08 16:16:26.1670,1.31,13.72,-7.52,15.7
2020-09-08 16:16:26.2670,1.38,13.75,-7.33,15.64
2020-09-08 16:16:26.3700,1.26,13.74,-7.23,15.58
