time,Bx,By,Bz,Btotal
2020-09-08 17:0:39.0050,25.14,-2.17,-16.5,30.15
2020-09-08 17:0:39.1050,25.59,-2.22,-16.72,30.65
2020-09-08 17:0:39.2050,25.37,-2.41,-16.57,30.4
2020-09-08 17:0:39.3050,25.62,-2.3,-16.45,30.53
2020-09-08 17:0:39.4050,25.33,-2.47,-16.5,30.33
2020-09-08 17:0:39.5050,25.68,-2.45,-16.62,30.69
2020-09-08 17:0:39.6050,25.72,-2.41,-16.48,30.64
2020-09-08 17:0:39.7050,25.66,-2.45,-16.55,30.64
2020-09-08 17:0:39.8050,25.33,-2.36,-16.63,30.4
2020-09-08 17:0:39.9060,25.56,-2.43,-16.64,30.6
2020-09-08 17:0:40.0060,25.29,-2.54,-16.59,30.35
2020-09-08 17:0:40.1060,25.67,-2.39,-16.58,30.65
2020-09-08 17:0:40.2060,25.52,-2.33,-16.6,30.54
2020-09-08 17:0:40.3060,25.44,-2.32,-16.49,30.41
2020-09-08 17:0:40.4060,25.34,-2.48,-16.8,30.5
2020-09-08 17:0:40.5060,25.52,-2.46,-16.42,30.44
2020-09-08 17:0:40.6060,25.56,-2.4,-16.68,30.62
2020-09-08 17:0:40.7060,25.51,-2.7,-16.7,30.61
2020-09-08 17:0:40.8060,25.46,-2.49,-16.66,30.52
2020-09-08 17:0:40.9060,25.13,-2.45,-16.68,30.26
2020-09-08 17:0:41.0070,25.29,-2.43,-16.75,30.43
2020-09-08 17:0:41.1070,25.4,-2.32,-16.63,30.44
2020-09-08 17:0:41.2060,25.48,-2.46,-16.75,30.59
2020-09-08 17:0:41.3070,25.45,-2.72,-16.89,30.67
2020-09-08 17:0:41.4070,25.82,-2.35,-16.7,30.84
2020-09-08 17:0:41.5070,25.55,-2.24,-16.8,30.66
2020-09-08 17:0:41.6070,25.66,-2.21,-16.71,30.7
2020-09-08 17:0:41.7070,25.54,-2.5,-16.65,30.59
2020-09-08 17:0:41.8070,25.57,-2.23,-16.62,30.58
2020-09-08 17:0:41.9070,25.45,-2.26,-16.64,30.49
2020-09-08 17:0:42.0070,25.71,-2.41,-16.74,30.77
2020-09-08 17:0:42.1070,25.69,-2.26,-16.67,30.71
2020-09-08 17:0:42.2070,25.67,-2.06,-16.64,30.66
