time,Bx,By,Bz,Btotal
2020-09-08 16:32:56.2100,20.94,48.82,-3.89,53.26
2020-09-08 16:32:56.3090,21.31,48.68,-3.99,53.29
2020-09-08 16:32:56.4000,20.95,48.54,-4.12,53.02
2020-09-08 16:32:56.5030,21.04,48.85,-3.97,53.34
2020-09-08 16:32:56.6000,21.28,48.76,-4.06,53.36
2020-09-08 16:32:56.7000,20.95,48.88,-3.88,53.32
2020-09-08 16:32:56.8010,21.29,48.71,-4.0,53.31
2020-09-08 16:32:56.9000,20.8,48.83,-4.09,53.24
2020-09-08 16:32:57.0030,20.98,48.68,-4.2,53.18
2020-09-08 16:32:57.1010,21.27,48.58,-3.99,53.18
2020-09-08 16:32:57.2000,21.22,48.69,-4.21,53.28
2020-09-08 16:32:57.3000,21.12,48.73,-4.21,53.28
2020-09-08 16:32:57.4000,21.25,48.76,-4.3,53.36
2020-09-08 16:32:57.5000,21.02,48.7,-4.36,53.22
2020-09-08 16:32:57.6000,21.1,48.64,-4.05,53.18
2020-09-08 16:32:57.7010,21.05,48.85,-4.08,53.34
2020-09-08 16:32:57.8000,21.22,48.67,-4.09,53.26
2020-09-08 16:32:57.9010,21.19,48.74,-4.24,53.31
2020-09-08 16:32:58.0010,21.2,48.67,-4.1,53.25
2020-09-08 16:32:58.1010,21.14,48.87,-4.21,53.42
2020-09-08 16:32:58.2010,21.21,48.88,-4.2,53.45
2020-09-08 16:32:58.3010,21.28,48.74,-4.12,53.35
2020-09-08 16:32:58.4010,21.24,48.94,-4.0,53.5
2020-09-08 16:32:58.5010,21.13,48.7,-4.15,53.25
2020-09-08 16:32:58.6010,21.36,48.59,-4.05,53.24
2020-09-08 16:32:58.7010,21.54,48.85,-4.17,53.55
2020-09-08 16:32:58.8010,21.65,48.77,-4.16,53.52
2020-09-08 16:32:58.9020,21.34,48.75,-4.12,53.37
2020-09-08 16:32:59.0010,20.97,48.85,-4.35,53.34
2020-09-08 16:32:59.1020,21.23,48.95,-4.12,53.52
2020-09-08 16:32:59.2010,21.12,48.91,-4.24,53.44
2020-09-08 16:32:59.3010,21.24,49.08,-4.1,53.64
2020-09-08 16:32:59.4010,21.36,48.57,-4.33,53.24
2020-09-08 16:32:59.5010,21.26,48.76,-4.03,53.34
2020-09-08 16:32:59.6010,21.4,48.81,-4.23,53.47
2020-09-08 16:32:59.7010,21.15,48.9,-4.19,53.44
2020-09-08 16:32:59.8040,21.17,48.88,-4.12,53.43
