time,Bx,By,Bz,Btotal
2020-09-08 16:54:31.4890,-9.41,242.37,25.05,243.84
2020-09-08 16:54:31.5890,-9.44,242.63,24.7,244.07
2020-09-08 16:54:31.6890,-9.67,242.75,24.9,244.21
2020-09-08 16:54:31.7890,-9.5,242.83,25.04,244.3
2020-09-08 16:54:31.8890,-9.63,242.68,24.97,244.15
2020-09-08 16:54:31.9890,-9.64,242.77,25.05,244.25
2020-09-08 16:54:32.0890,-9.62,242.53,24.83,243.99
2020-09-08 16:54:32.1890,-9.29,242.56,24.84,244.01
2020-09-08 16:54:32.2890,-9.56,242.96,25.02,244.43
2020-09-08 16:54:32.3890,-9.42,242.55,24.83,244.0
2020-09-08 16:54:32.4890,-9.48,242.92,25.06,244.39
2020-09-08 16:54:32.5890,-9.24,242.23,24.91,243.68
2020-09-08 16:54:32.6890,-9.4,242.73,24.97,244.19
2020-09-08 16:54:32.7890,-9.37,242.52,24.87,243.97
2020-09-08 16:54:32.8900,-9.34,242.64,25.0,244.11
2020-09-08 16:54:32.9900,-9.49,242.73,24.84,244.18
2020-09-08 16:54:33.0900,-9.73,242.58,24.88,244.05
2020-09-08 16:54:33.1890,-9.74,242.66,24.91,244.13
2020-09-08 16:54:33.2900,-9.51,242.84,24.79,244.29
2020-09-08 16:54:33.3900,-9.64,242.57,24.97,244.04
2020-09-08 16:54:33.4900,-9.34,242.76,24.64,244.19
2020-09-08 16:54:33.5900,-9.12,242.59,24.76,244.02
2020-09-08 16:54:33.6900,-9.28,242.65,24.91,244.1
2020-09-08 16:54:33.7900,-9.49,242.54,24.92,244.0
2020-09-08 16:54:33.8900,-9.4,242.23,24.65,243.67
2020-09-08 16:54:33.9900,-9.35,242.47,24.83,243.92
2020-09-08 16:54:34.0900,-9.31,242.53,24.62,243.95
2020-09-08 16:54:34.1900,-9.76,242.72,24.72,244.17
2020-09-08 16:54:34.2900,-9.35,242.65,24.73,244.09
2020-09-08 16:54:34.3900,-9.61,242.74,24.83,244.2
2020-09-08 16:54:34.4900,-9.56,242.81,24.99,244.28
2020-09-08 16:54:34.5900,-9.53,242.72,24.83,244.17
2020-09-08 16:54:34.6900,-9.73,242.66,24.67,244.1
2020-09-08 16:54:34.7900,-9.76,242.63,25.26,244.14
