time,Bx,By,Bz,Btotal
2020-09-07 15:45:27.7290,-2.87,16.99,41.34,44.78
2020-09-07 15:45:27.8280,-2.82,16.91,41.23,44.65
2020-09-07 15:45:27.9330,-2.97,16.91,41.09,44.54
2020-09-07 15:45:28.0320,-2.69,16.8,41.11,44.49
2020-09-07 15:45:28.1400,-2.82,16.68,41.23,44.57
2020-09-07 15:45:28.2310,-2.97,16.74,41.17,44.54
2020-09-07 15:45:28.3380,-2.69,16.68,41.15,44.48
2020-09-07 15:45:28.4290,-2.89,16.7,41.26,44.6
2020-09-07 15:45:28.5280,-2.88,16.88,41.4,44.8
2020-09-07 15:45:28.6280,-2.54,16.9,41.17,44.57
2020-09-07 15:45:28.7360,-2.9,16.76,41.34,44.7
2020-09-07 15:45:28.8260,-2.96,16.94,41.29,44.73
2020-09-07 15:45:28.9250,-2.83,16.78,41.27,44.64
2020-09-07 15:45:29.0250,-2.92,17.0,41.08,44.56
2020-09-07 15:45:29.1250,-2.86,16.77,41.16,44.54
2020-09-07 15:45:29.2250,-2.98,16.84,41.22,44.62
2020-09-07 15:45:29.3250,-2.77,17.1,41.29,44.78
2020-09-07 15:45:29.4250,-2.77,16.86,41.08,44.49
2020-09-07 15:45:29.5250,-2.6,17.06,41.15,44.62
2020-09-07 15:45:29.6250,-2.85,17.03,41.26,44.73
2020-09-07 15:45:29.7250,-2.63,16.94,41.22,44.64
2020-09-07 15:45:29.8250,-2.85,16.95,41.16,44.61
2020-09-07 15:45:29.9250,-3.44,17.25,41.12,44.72
2020-09-07 15:45:30.0250,-2.9,16.87,41.0,44.43
2020-09-07 15:45:30.1250,-2.82,16.89,41.15,44.57
2020-09-07 15:45:30.2250,-2.76,16.8,41.05,44.44
2020-09-07 15:45:30.3250,-2.75,16.79,41.12,44.5
2020-09-07 15:45:30.4250,-2.86,16.73,41.05,44.42
2020-09-07 15:45:30.5250,-2.92,16.61,41.32,44.63
2020-09-07 15:45:30.6260,-2.82,16.87,41.11,44.52
2020-09-07 15:45:30.7250,-3.08,16.77,40.98,44.39
2020-09-07 15:45:30.8250,-2.63,16.97,41.07,44.51
2020-09-07 15:45:30.9260,-2.93,16.91,41.03,44.47
2020-09-07 15:45:31.0250,-3.75,16.85,40.98,44.47
2020-09-07 15:45:31.1260,-2.59,17.04,41.08,44.55
2020-09-07 15:45:31.2260,-2.69,16.75,41.27,44.62
2020-09-07 15:45:31.3260,-2.72,17.05,41.14,44.61
2020-09-07 15:45:31.4260,-3.08,17.17,41.44,44.96
2020-09-07 15:45:31.5260,-3.1,16.84,41.02,44.45
2020-09-07 15:45:31.6260,-3.08,16.96,41.13,44.6
2020-09-07 15:45:31.7260,-2.7,16.86,41.11,44.52
2020-09-07 15:45:31.8260,-2.75,17.02,41.02,44.49
2020-09-07 15:45:31.9260,-2.6,16.8,41.11,44.49
2020-09-07 15:45:32.0260,-2.55,16.92,40.93,44.36
2020-09-07 15:45:32.1260,-3.35,17.25,41.2,44.79
2020-09-07 15:45:32.2260,-2.7,16.88,41.11,44.52
2020-09-07 15:45:32.3270,-2.88,17.01,41.24,44.7
2020-09-07 15:45:32.4260,-2.63,16.93,41.24,44.66
2020-09-07 15:45:32.5270,-3.23,16.96,41.28,44.74
2020-09-07 15:45:32.6260,-2.74,16.97,41.16,44.61
2020-09-07 15:45:32.7270,-2.75,16.9,41.02,44.45
2020-09-07 15:45:32.8270,-2.63,17.0,41.17,44.62
2020-09-07 15:45:32.9270,-2.63,17.03,41.24,44.69
2020-09-07 15:45:33.0270,-2.5,16.91,41.12,44.53
2020-09-07 15:45:33.1270,-2.53,16.77,41.21,44.56
2020-09-07 15:45:33.2470,-2.69,16.91,41.17,44.59
2020-09-07 15:45:33.3460,-2.78,16.84,41.2,44.6
2020-09-07 15:45:33.4390,-2.86,17.03,41.42,44.88
2020-09-07 15:45:33.5450,-2.9,16.72,41.37,44.72
2020-09-07 15:45:33.6410,-2.98,17.26,41.43,44.98
2020-09-07 15:45:33.7360,-2.99,16.92,41.08,44.52
2020-09-07 15:45:33.8350,-2.92,17.14,41.16,44.69
2020-09-07 15:45:33.9350,-2.49,16.95,41.11,44.53
2020-09-07 15:45:34.0340,-2.96,17.03,41.27,44.75
2020-09-07 15:45:34.1340,-2.93,16.95,41.11,44.56
2020-09-07 15:45:34.2370,-2.65,17.09,41.23,44.71
2020-09-07 15:45:34.3330,-2.7,17.11,41.24,44.73
2020-09-07 15:45:34.4320,-2.88,16.94,41.13,44.58
2020-09-07 15:45:34.5370,-3.05,16.93,41.15,44.6
2020-09-07 15:45:34.6340,-2.99,17.16,41.05,44.59
2020-09-07 15:45:34.7360,-3.04,17.18,41.27,44.8
2020-09-07 15:45:34.8270,-3.28,17.18,41.23,44.79
2020-09-07 15:45:34.9270,-2.74,17.04,41.14,44.61
2020-09-07 15:45:35.0300,-3.13,17.5,41.09,44.77
2020-09-07 15:45:35.1340,-2.72,17.28,41.03,44.6
2020-09-07 15:45:35.2300,-2.52,17.06,41.16,44.62
2020-09-07 15:45:35.3320,-2.48,16.9,41.07,44.48
2020-09-07 15:45:35.4320,-2.41,17.09,41.02,44.5
2020-09-07 15:45:35.5390,-2.62,16.77,40.9,44.28
2020-09-07 15:45:35.6310,-2.75,17.3,41.08,44.66
2020-09-07 15:45:35.7350,-2.41,17.18,41.12,44.63
2020-09-07 15:45:35.8300,-2.62,17.12,41.12,44.62
2020-09-07 15:45:35.9290,-2.5,17.09,41.16,44.63
2020-09-07 15:45:36.0290,-2.63,17.07,41.15,44.62
2020-09-07 15:45:36.1290,-2.63,16.88,41.2,44.6
2020-09-07 15:45:36.2290,-2.87,17.15,41.19,44.71
2020-09-07 15:45:36.3290,-2.75,17.3,41.05,44.63
2020-09-07 15:45:36.4290,-2.74,17.04,41.07,44.54
2020-09-07 15:45:36.5300,-2.49,16.8,41.02,44.4
2020-09-07 15:45:36.6300,-2.91,16.95,41.32,44.76
2020-09-07 15:45:36.7300,-2.39,17.11,41.2,44.67
2020-09-07 15:45:36.8300,-2.81,17.17,41.2,44.72
