time,Bx,By,Bz,Btotal
2020-09-08 21:5:25.3340,44.4,13.04,-5.54,46.61
2020-09-08 21:5:25.4300,44.42,13.24,-5.31,46.66
2020-09-08 21:5:25.5300,44.47,13.21,-5.45,46.71
2020-09-08 21:5:25.6350,44.42,13.28,-5.23,46.66
2020-09-08 21:5:25.7280,44.64,13.0,-5.5,46.81
2020-09-08 21:5:25.8340,44.3,13.17,-5.54,46.54
2020-09-08 21:5:25.9290,44.32,13.31,-5.6,46.62
2020-09-08 21:5:26.0250,44.56,13.08,-5.48,46.77
2020-09-08 21:5:26.1290,44.79,13.28,-5.62,47.05
2020-09-08 21:5:26.2230,44.45,13.53,-5.44,46.78
2020-09-08 21:5:26.3230,44.4,13.43,-5.62,46.73
2020-09-08 21:5:26.4220,44.44,13.07,-5.51,46.65
2020-09-08 21:5:26.5270,44.81,13.04,-5.3,46.97
2020-09-08 21:5:26.6260,44.62,13.4,-5.5,46.92
2020-09-08 21:5:26.7250,44.54,13.19,-5.51,46.78
2020-09-08 21:5:26.8250,44.51,12.97,-5.54,46.69
2020-09-08 21:5:26.9250,44.89,13.16,-5.53,47.11
2020-09-08 21:5:27.0250,44.62,13.17,-5.52,46.85
2020-09-08 21:5:27.1210,44.52,13.11,-5.22,46.7
2020-09-08 21:5:27.2230,44.61,13.06,-5.49,46.81
2020-09-08 21:5:27.3230,44.52,13.28,-5.49,46.79
2020-09-08 21:5:27.4230,44.51,13.04,-5.52,46.71
2020-09-08 21:5:27.5210,44.42,13.17,-5.36,46.64
2020-09-08 21:5:27.6210,44.65,13.47,-5.48,46.96
2020-09-08 21:5:27.7210,44.39,13.17,-5.49,46.62
2020-09-08 21:5:27.8210,44.36,13.24,-5.64,46.63
2020-09-08 21:5:27.9210,44.16,13.3,-5.68,46.47
2020-09-08 21:5:28.0210,44.69,13.01,-5.59,46.88
2020-09-08 21:5:28.1210,44.25,13.27,-5.61,46.54
2020-09-08 21:5:28.2210,44.51,13.14,-5.69,46.75
2020-09-08 21:5:28.3210,44.7,13.19,-5.73,46.96
2020-09-08 21:5:28.4210,44.46,13.27,-5.48,46.72
2020-09-08 21:5:28.5220,44.71,13.2,-5.57,46.95
2020-09-08 21:5:28.6210,44.52,13.22,-5.54,46.77
2020-09-08 21:5:28.7220,44.49,13.24,-5.79,46.78
2020-09-08 21:5:28.8220,44.78,13.23,-5.56,47.03
2020-09-08 21:5:28.9220,44.8,13.05,-5.71,47.01
2020-09-08 21:5:29.0220,44.49,13.13,-5.55,46.71
2020-09-08 21:5:29.1220,44.69,13.16,-5.89,46.95
2020-09-08 21:5:29.2220,44.67,13.19,-5.53,46.9
2020-09-08 21:5:29.3220,44.51,13.29,-5.4,46.76
2020-09-08 21:5:29.4220,44.5,13.29,-5.55,46.77
2020-09-08 21:5:29.5220,44.67,13.32,-5.62,46.95
2020-09-08 21:5:29.6220,44.78,13.13,-5.66,47.01
2020-09-08 21:5:29.7220,44.56,13.2,-5.49,46.8
2020-09-08 21:5:29.8220,44.63,13.04,-5.83,46.86
2020-09-08 21:5:29.9220,44.62,13.08,-5.67,46.84
2020-09-08 21:5:30.0220,44.7,13.06,-5.69,46.91
2020-09-08 21:5:30.1220,44.69,13.22,-5.56,46.94
2020-09-08 21:5:30.2220,44.68,13.32,-5.34,46.93
2020-09-08 21:5:30.3220,44.29,13.34,-5.61,46.6
2020-09-08 21:5:30.4220,44.67,13.25,-5.47,46.91
2020-09-08 21:5:30.5220,44.65,13.12,-5.52,46.87
2020-09-08 21:5:30.6230,44.65,13.23,-5.5,46.89
2020-09-08 21:5:30.7220,44.75,13.22,-5.66,47.0
2020-09-08 21:5:30.8220,44.8,13.26,-5.35,47.03
2020-09-08 21:5:30.9220,44.86,13.35,-5.6,47.14
2020-09-08 21:5:31.0220,44.94,13.31,-5.39,47.17
