time,Bx,By,Bz,Btotal
2020-09-08 15:53:54.4750,13.99,12.81,1.3,19.01
2020-09-08 15:53:54.5760,14.18,12.94,1.18,19.24
2020-09-08 15:53:54.6760,14.26,12.67,1.47,19.13
2020-09-08 15:53:54.7760,14.29,12.61,0.98,19.08
2020-09-08 15:53:54.8760,14.06,12.72,0.79,18.98
2020-09-08 15:53:54.9760,14.13,12.68,0.88,19.01
2020-09-08 15:53:55.0760,14.43,12.85,1.32,19.37
2020-09-08 15:53:55.1760,14.15,12.76,0.94,19.07
2020-09-08 15:53:55.2760,14.55,12.99,0.97,19.53
2020-09-08 15:53:55.3760,14.38,12.71,1.03,19.22
2020-09-08 15:53:55.4760,14.51,12.6,0.9,19.24
2020-09-08 15:53:55.5760,14.38,12.75,1.12,19.26
2020-09-08 15:53:55.6760,14.38,12.55,1.27,19.13
2020-09-08 15:53:55.7760,13.99,12.76,1.1,18.97
2020-09-08 15:53:55.8910,14.29,12.75,1.11,19.18
2020-09-08 15:53:55.9910,14.33,12.54,1.04,19.07
2020-09-08 15:53:56.0950,14.4,12.61,1.12,19.17
2020-09-08 15:53:56.1890,14.33,12.68,0.95,19.16
2020-09-08 15:53:56.2940,14.3,12.74,0.91,19.18
2020-09-08 15:53:56.3930,14.17,12.67,1.06,19.04
2020-09-08 15:53:56.4930,14.26,12.42,0.91,18.93
2020-09-08 15:53:56.5930,14.61,12.67,1.05,19.37
2020-09-08 15:53:56.6890,14.34,12.69,0.79,19.16
2020-09-08 15:53:56.7890,14.27,12.77,0.91,19.17
2020-09-08 15:53:56.8880,14.26,12.57,0.86,19.02
2020-09-08 15:53:56.9830,14.54,12.71,0.85,19.34
2020-09-08 15:53:57.0830,14.23,12.48,1.01,18.96
2020-09-08 15:53:57.1830,14.24,12.38,0.9,18.89
2020-09-08 15:53:57.2860,14.19,12.52,1.01,18.95
2020-09-08 15:53:57.3820,14.19,12.55,1.05,18.97
2020-09-08 15:53:57.4810,14.23,12.52,1.12,18.98
2020-09-08 15:53:57.5800,14.08,12.17,1.22,18.65
2020-09-08 15:53:57.6850,14.06,12.7,1.38,19.0
