time,Bx,By,Bz,Btotal
2020-09-08 16:21:44.2400,18.16,2.77,1.48,18.43
2020-09-08 16:21:44.3400,18.04,2.8,1.67,18.33
2020-09-08 16:21:44.4380,18.08,2.75,1.33,18.34
2020-09-08 16:21:44.5420,18.05,2.69,1.24,18.29
2020-09-08 16:21:44.6420,18.25,2.87,1.38,18.53
2020-09-08 16:21:44.7410,18.23,2.84,1.2,18.49
2020-09-08 16:21:44.8410,18.07,2.61,1.41,18.31
2020-09-08 16:21:44.9400,18.26,2.86,1.33,18.54
2020-09-08 16:21:45.0400,17.99,2.81,1.42,18.26
2020-09-08 16:21:45.1390,18.19,2.7,1.41,18.44
2020-09-08 16:21:45.2390,17.68,2.8,1.29,17.94
2020-09-08 16:21:45.3390,18.23,2.75,1.67,18.51
2020-09-08 16:21:45.4390,18.03,2.94,1.46,18.33
2020-09-08 16:21:45.5390,18.23,2.77,1.46,18.5
2020-09-08 16:21:45.6390,18.19,2.75,1.41,18.45
2020-09-08 16:21:45.7390,17.79,2.7,1.39,18.05
2020-09-08 16:21:45.8400,18.27,2.85,1.57,18.56
2020-09-08 16:21:45.9400,17.85,2.7,1.31,18.1
2020-09-08 16:21:46.0400,17.86,2.73,1.33,18.11
2020-09-08 16:21:46.1400,18.11,2.85,1.17,18.37
2020-09-08 16:21:46.2400,18.18,2.45,1.23,18.38
2020-09-08 16:21:46.3400,18.26,2.81,1.53,18.54
2020-09-08 16:21:46.4400,18.13,2.62,1.29,18.37
2020-09-08 16:21:46.5400,18.06,2.66,1.26,18.3
2020-09-08 16:21:46.6400,18.13,2.75,1.3,18.38
2020-09-08 16:21:46.7400,18.14,2.59,1.43,18.38
2020-09-08 16:21:46.8400,18.25,2.81,1.5,18.53
2020-09-08 16:21:46.9400,18.36,2.7,1.7,18.64
2020-09-08 16:21:47.0400,18.16,2.68,1.54,18.42
2020-09-08 16:21:47.1400,18.05,2.69,1.49,18.31
2020-09-08 16:21:47.2400,17.94,2.67,1.53,18.2
2020-09-08 16:21:47.3400,18.08,2.79,1.51,18.35
2020-09-08 16:21:47.4420,18.07,2.73,1.48,18.34
