time,Bx,By,Bz,Btotal
2020-09-08 21:0:58.0160,461.98,238.35,331.25,616.41
2020-09-08 21:0:58.1160,461.87,238.29,331.3,616.33
2020-09-08 21:0:58.2200,461.55,238.53,331.19,616.13
2020-09-08 21:0:58.3140,461.74,237.98,331.05,615.98
2020-09-08 21:0:58.4170,461.58,237.96,331.2,615.93
2020-09-08 21:0:58.5180,461.35,238.04,331.29,615.84
2020-09-08 21:0:58.6180,461.79,238.23,331.31,616.26
2020-09-08 21:0:58.7170,461.42,238.08,330.93,615.71
2020-09-08 21:0:58.8170,461.33,238.17,331.03,615.74
2020-09-08 21:0:58.9170,461.56,238.49,331.28,616.17
2020-09-08 21:0:59.0160,461.71,238.49,331.25,616.26
2020-09-08 21:0:59.1090,461.75,238.32,331.33,616.27
2020-09-08 21:0:59.2150,461.45,238.06,331.53,616.05
2020-09-08 21:0:59.3110,461.41,238.32,331.18,615.93
2020-09-08 21:0:59.4110,461.32,238.06,331.2,615.78
2020-09-08 21:0:59.5090,461.61,238.3,331.21,616.09
2020-09-08 21:0:59.6100,461.64,237.98,331.39,616.09
2020-09-08 21:0:59.7090,461.51,238.14,331.1,615.89
2020-09-08 21:0:59.8090,461.67,238.17,331.08,616.02
2020-09-08 21:0:59.9090,461.68,238.26,331.28,616.17
2020-09-08 21:1:00.0120,461.38,238.07,331.3,615.88
2020-09-08 21:1:00.1090,461.84,238.3,331.24,616.28
2020-09-08 21:1:00.2090,461.7,238.22,331.15,616.09
2020-09-08 21:1:00.3090,461.62,238.27,331.33,616.15
2020-09-08 21:1:00.4090,462.12,238.37,331.2,616.5
2020-09-08 21:1:00.5090,461.73,238.1,331.06,616.03
2020-09-08 21:1:00.6090,461.59,237.98,331.31,616.01
2020-09-08 21:1:00.7090,461.98,238.31,331.1,616.32
2020-09-08 21:1:00.8090,461.56,238.17,331.34,616.08
2020-09-08 21:1:00.9090,461.56,237.92,331.15,615.87
2020-09-08 21:1:01.0090,461.86,237.94,331.22,616.15
2020-09-08 21:1:01.1100,461.83,237.94,331.12,616.06
2020-09-08 21:1:01.2090,461.67,238.11,331.11,616.01
2020-09-08 21:1:01.3090,461.72,238.16,331.06,616.04
2020-09-08 21:1:01.4090,461.97,238.37,331.17,616.36
2020-09-08 21:1:01.5100,462.0,237.99,330.97,616.14
2020-09-08 21:1:01.6100,461.96,237.93,331.03,616.12
2020-09-08 21:1:01.7100,461.81,238.08,331.18,616.14
2020-09-08 21:1:01.8100,461.77,237.84,331.17,616.01
2020-09-08 21:1:01.9100,461.93,238.12,330.99,616.14
2020-09-08 21:1:02.0100,462.11,238.1,331.05,616.3
2020-09-08 21:1:02.1100,461.73,238.05,331.43,616.2
2020-09-08 21:1:02.2100,461.72,238.28,331.3,616.22
2020-09-08 21:1:02.3100,462.08,238.22,331.24,616.43
2020-09-08 21:1:02.4100,462.07,238.22,331.13,616.36
2020-09-08 21:1:02.5100,462.06,238.07,331.18,616.33
2020-09-08 21:1:02.6100,461.96,238.27,331.07,616.27
2020-09-08 21:1:02.7100,462.11,238.19,331.09,616.36
2020-09-08 21:1:02.8100,461.97,238.21,331.13,616.29
2020-09-08 21:1:02.9100,462.02,238.16,331.09,616.28
2020-09-08 21:1:03.0100,462.06,238.13,331.23,616.37
2020-09-08 21:1:03.1100,462.09,238.25,331.1,616.38
2020-09-08 21:1:03.2100,462.1,238.15,330.97,616.28
2020-09-08 21:1:03.3100,461.74,238.18,331.22,616.15
2020-09-08 21:1:03.4100,461.92,238.22,330.78,616.06
