time,Bx,By,Bz,Btotal
2020-09-08 16:34:39.8520,27.95,22.45,0.14,35.86
2020-09-08 16:34:39.9520,27.99,22.79,0.23,36.09
2020-09-08 16:34:40.0520,28.43,22.81,0.02,36.45
2020-09-08 16:34:40.1520,28.11,22.76,0.28,36.17
2020-09-08 16:34:40.2530,28.2,22.78,0.04,36.25
2020-09-08 16:34:40.3530,28.1,22.78,0.11,36.18
2020-09-08 16:34:40.4530,28.28,22.72,0.15,36.28
2020-09-08 16:34:40.5530,28.11,22.94,0.33,36.29
2020-09-08 16:34:40.6530,27.94,22.93,0.28,36.14
2020-09-08 16:34:40.7530,28.12,22.7,0.26,36.14
2020-09-08 16:34:40.8530,28.25,22.62,0.09,36.19
2020-09-08 16:34:40.9530,28.06,22.68,0.07,36.08
2020-09-08 16:34:41.0530,28.29,22.69,0.16,36.26
2020-09-08 16:34:41.1530,27.85,22.6,-0.06,35.87
2020-09-08 16:34:41.2530,28.0,22.58,0.18,35.98
2020-09-08 16:34:41.3530,27.8,22.97,0.08,36.06
2020-09-08 16:34:41.4530,27.82,22.81,0.1,35.98
2020-09-08 16:34:41.5530,28.09,22.71,0.2,36.13
2020-09-08 16:34:41.6530,28.01,22.58,-0.06,35.98
2020-09-08 16:34:41.7530,28.06,22.54,0.37,36.0
2020-09-08 16:34:41.8540,28.12,22.65,-0.12,36.11
2020-09-08 16:34:41.9530,27.95,22.52,0.06,35.9
2020-09-08 16:34:42.0540,27.76,22.68,0.12,35.85
2020-09-08 16:34:42.1530,28.27,22.67,0.07,36.24
2020-09-08 16:34:42.2530,27.88,23.07,0.11,36.19
2020-09-08 16:34:42.3540,28.29,22.5,-0.16,36.15
2020-09-08 16:34:42.4540,27.85,22.68,0.1,35.91
2020-09-08 16:34:42.5540,27.89,22.79,0.04,36.02
2020-09-08 16:34:42.6540,27.97,22.71,-0.09,36.03
2020-09-08 16:34:42.7540,28.14,23.0,-0.21,36.34
