time,Bx,By,Bz,Btotal
2020-09-08 16:35:38.3960,24.69,14.24,1.42,28.54
2020-09-08 16:35:38.4960,24.38,14.08,1.32,28.19
2020-09-08 16:35:38.6000,24.37,13.95,1.38,28.12
2020-09-08 16:35:38.6990,24.56,14.05,1.21,28.32
2020-09-08 16:35:38.7990,24.48,13.96,1.53,28.22
2020-09-08 16:35:38.8980,24.56,13.72,1.23,28.16
2020-09-08 16:35:38.9950,24.39,14.24,1.53,28.29
2020-09-08 16:35:39.0910,24.63,14.03,1.35,28.38
2020-09-08 16:35:39.1910,24.54,14.29,1.38,28.43
2020-09-08 16:35:39.2930,24.46,14.03,1.45,28.23
2020-09-08 16:35:39.3930,24.74,14.02,1.36,28.46
2020-09-08 16:35:39.4890,24.57,14.02,1.55,28.33
2020-09-08 16:35:39.5910,24.68,14.05,1.18,28.42
2020-09-08 16:35:39.6910,24.4,14.15,1.22,28.23
2020-09-08 16:35:39.7900,24.51,14.16,1.48,28.34
2020-09-08 16:35:39.8860,24.55,14.13,1.38,28.36
2020-09-08 16:35:39.9900,24.53,14.0,1.32,28.28
2020-09-08 16:35:40.0900,24.59,14.09,1.35,28.37
2020-09-08 16:35:40.1870,24.61,14.11,1.28,28.4
2020-09-08 16:35:40.2900,24.65,13.92,1.3,28.34
2020-09-08 16:35:40.3890,24.9,13.99,1.62,28.6
2020-09-08 16:35:40.4880,24.7,14.14,1.32,28.49
2020-09-08 16:35:40.5870,24.23,14.04,1.44,28.04
2020-09-08 16:35:40.6840,24.49,13.74,1.35,28.12
2020-09-08 16:35:40.7830,24.48,14.01,1.26,28.23
2020-09-08 16:35:40.8830,24.46,14.01,1.4,28.22
2020-09-08 16:35:40.9830,24.84,13.96,1.35,28.53
2020-09-08 16:35:41.0830,24.82,14.13,1.31,28.58
2020-09-08 16:35:41.1830,24.88,13.98,1.32,28.57
2020-09-08 16:35:41.2830,24.5,13.83,1.41,28.17
2020-09-08 16:35:41.3830,24.7,14.11,1.15,28.46
2020-09-08 16:35:41.4830,24.87,14.11,1.39,28.63
2020-09-08 16:35:41.5830,24.99,14.13,1.57,28.75
