time,Bx,By,Bz,Btotal
2020-09-08 21:3:09.4100,101.75,28.04,2.73,105.58
2020-09-08 21:3:09.5100,102.01,27.97,2.85,105.82
2020-09-08 21:3:09.6100,101.82,27.81,2.89,105.59
2020-09-08 21:3:09.7100,102.12,28.12,2.85,105.96
2020-09-08 21:3:09.8100,101.99,28.15,2.97,105.85
2020-09-08 21:3:09.9100,101.33,28.14,2.98,105.21
2020-09-08 21:3:10.0100,101.9,28.22,2.99,105.78
2020-09-08 21:3:10.1100,102.27,28.24,2.98,106.14
2020-09-08 21:3:10.2100,102.49,27.91,2.98,106.26
2020-09-08 21:3:10.3100,102.03,27.92,2.9,105.82
2020-09-08 21:3:10.4100,101.87,28.09,3.06,105.71
2020-09-08 21:3:10.5100,102.33,27.93,2.73,106.11
2020-09-08 21:3:10.6100,102.35,28.11,2.91,106.18
2020-09-08 21:3:10.7100,102.21,28.17,2.8,106.06
2020-09-08 21:3:10.8110,102.18,28.25,2.92,106.05
2020-09-08 21:3:10.9100,102.34,28.22,3.1,106.2
2020-09-08 21:3:11.0100,102.16,28.17,3.08,106.02
2020-09-08 21:3:11.1110,102.04,28.17,2.9,105.9
2020-09-08 21:3:11.2110,101.82,28.1,3.01,105.67
2020-09-08 21:3:11.3100,102.14,28.11,3.0,105.98
2020-09-08 21:3:11.4110,101.95,28.12,2.86,105.79
2020-09-08 21:3:11.5110,101.99,28.0,2.79,105.8
2020-09-08 21:3:11.6110,102.21,28.08,2.73,106.03
2020-09-08 21:3:11.7110,102.23,27.91,2.83,106.01
2020-09-08 21:3:11.8110,102.26,28.15,3.09,106.11
2020-09-08 21:3:11.9110,102.14,28.27,2.79,106.01
2020-09-08 21:3:12.0110,102.02,27.9,2.76,105.8
2020-09-08 21:3:12.1110,102.03,28.24,2.87,105.9
2020-09-08 21:3:12.2110,101.88,28.2,2.81,105.75
2020-09-08 21:3:12.3110,102.01,27.9,2.94,105.8
2020-09-08 21:3:12.4110,102.13,28.09,3.27,105.97
2020-09-08 21:3:12.5110,102.35,28.2,3.02,106.2
2020-09-08 21:3:12.6110,101.94,28.17,2.97,105.8
2020-09-08 21:3:12.7110,101.99,27.88,2.75,105.77
2020-09-08 21:3:12.8120,102.04,28.09,2.97,105.88
2020-09-08 21:3:12.9120,102.16,28.14,3.12,106.01
2020-09-08 21:3:13.0120,102.14,27.95,2.69,105.93
2020-09-08 21:3:13.1110,102.16,28.11,2.86,106.0
2020-09-08 21:3:13.2120,102.11,28.13,2.81,105.95
2020-09-08 21:3:13.3120,102.28,28.07,2.6,106.1
2020-09-08 21:3:13.4300,101.74,28.12,2.83,105.59
2020-09-08 21:3:13.5280,102.16,27.99,2.99,105.97
2020-09-08 21:3:13.6290,102.12,28.49,3.03,106.06
2020-09-08 21:3:13.7290,101.92,27.92,2.77,105.71
2020-09-08 21:3:13.8310,102.06,28.33,2.69,105.96
2020-09-08 21:3:13.9260,101.91,28.33,3.04,105.82
2020-09-08 21:3:14.0290,101.77,28.05,2.88,105.6
2020-09-08 21:3:14.1270,102.04,28.33,2.99,105.94
2020-09-08 21:3:14.2240,102.11,28.11,2.82,105.94
2020-09-08 21:3:14.3230,102.24,28.1,2.72,106.06
2020-09-08 21:3:14.4190,102.18,28.23,2.91,106.05
2020-09-08 21:3:14.5220,101.82,28.14,2.95,105.68
2020-09-08 21:3:14.6210,101.94,28.15,2.79,105.79
2020-09-08 21:3:14.7170,102.16,28.05,2.87,105.98
2020-09-08 21:3:14.8210,102.09,28.16,2.81,105.94
2020-09-08 21:3:14.9200,102.15,28.2,2.97,106.01
2020-09-08 21:3:15.0200,102.12,28.12,2.85,105.96
2020-09-08 21:3:15.1220,102.21,28.09,2.85,106.04
2020-09-08 21:3:15.2190,102.22,27.99,2.55,106.01
2020-09-08 21:3:15.3180,102.36,28.16,3.02,106.21
2020-09-08 21:3:15.4180,101.95,27.82,3.17,105.72
