time,Bx,By,Bz,Btotal
2020-09-07 15:41:21.7030,-5.33,14.92,13.38,20.74
2020-09-07 15:41:21.8040,-4.89,15.17,13.38,20.81
2020-09-07 15:41:21.9030,-4.69,15.19,13.61,20.93
2020-09-07 15:41:22.0030,-5.07,15.3,13.38,20.95
2020-09-07 15:41:22.1170,-4.85,15.24,13.32,20.81
2020-09-07 15:41:22.2200,-4.78,15.14,13.07,20.56
2020-09-07 15:41:22.3150,-5.07,15.19,13.04,20.65
2020-09-07 15:41:22.4190,-5.22,14.91,13.21,20.59
2020-09-07 15:41:22.5150,-5.08,15.01,13.47,20.8
2020-09-07 15:41:22.6210,-5.49,15.17,13.52,21.05
2020-09-07 15:41:22.7170,-5.14,15.08,13.07,20.61
2020-09-07 15:41:22.8170,-5.35,14.93,13.15,20.6
2020-09-07 15:41:22.9200,-4.96,14.88,13.17,20.48
2020-09-07 15:41:23.0190,-5.2,14.95,13.3,20.67
2020-09-07 15:41:23.1160,-5.19,15.01,13.05,20.56
2020-09-07 15:41:23.2160,-4.99,15.07,13.23,20.66
2020-09-07 15:41:23.3170,-4.8,15.07,13.33,20.68
2020-09-07 15:41:23.4150,-5.27,15.09,13.28,20.78
2020-09-07 15:41:23.5110,-4.89,15.23,13.34,20.83
2020-09-07 15:41:23.6110,-4.79,15.3,13.39,20.89
2020-09-07 15:41:23.7070,-5.04,14.95,13.19,20.57
2020-09-07 15:41:23.8100,-4.99,15.29,13.24,20.83
2020-09-07 15:41:23.9100,-5.15,14.85,13.08,20.45
2020-09-07 15:41:24.0050,-4.92,14.95,13.43,20.69
2020-09-07 15:41:24.1080,-4.88,15.1,13.24,20.66
2020-09-07 15:41:24.2080,-4.82,15.13,13.15,20.62
2020-09-07 15:41:24.3080,-4.95,15.27,13.42,20.92
2020-09-07 15:41:24.4100,-4.75,14.92,13.23,20.5
2020-09-07 15:41:24.5070,-4.87,15.25,13.42,20.88
2020-09-07 15:41:24.6070,-4.82,15.39,13.38,20.96
2020-09-07 15:41:24.7060,-5.17,15.18,13.32,20.84
2020-09-07 15:41:24.8060,-4.87,15.05,13.28,20.66
2020-09-07 15:41:24.9060,-4.92,14.92,13.18,20.51
2020-09-07 15:41:25.0040,-5.24,14.99,13.42,20.79
2020-09-07 15:41:25.1070,-4.96,14.91,13.45,20.68
2020-09-07 15:41:25.2050,-5.38,15.02,13.21,20.71
2020-09-07 15:41:25.3050,-4.91,15.14,13.14,20.64
2020-09-07 15:41:25.4050,-5.07,15.16,13.13,20.69
2020-09-07 15:41:25.5050,-5.0,15.1,13.4,20.79
2020-09-07 15:41:25.6050,-5.11,15.26,13.09,20.75
2020-09-07 15:41:25.7050,-4.92,15.22,13.23,20.76
2020-09-07 15:41:25.8050,-4.97,15.34,13.15,20.81
2020-09-07 15:41:25.9050,-4.99,15.3,13.21,20.83
2020-09-07 15:41:26.0050,-5.17,15.2,13.26,20.82
2020-09-07 15:41:26.1050,-4.91,14.97,13.27,20.6
2020-09-07 15:41:26.2060,-5.46,15.08,13.24,20.8
2020-09-07 15:41:26.3060,-5.48,15.01,13.25,20.76
2020-09-07 15:41:26.4050,-4.95,15.25,13.41,20.9
2020-09-07 15:41:26.5050,-5.07,15.09,13.53,20.9
2020-09-07 15:41:26.6060,-5.0,14.9,13.23,20.55
2020-09-07 15:41:26.7060,-5.13,15.1,13.33,20.78
2020-09-07 15:41:26.8060,-4.75,15.1,13.39,20.73
2020-09-07 15:41:26.9060,-4.89,15.36,13.4,20.96
2020-09-07 15:41:27.0060,-4.78,15.21,13.28,20.74
2020-09-07 15:41:27.1060,-4.78,15.13,13.15,20.61
2020-09-07 15:41:27.2060,-4.8,15.02,13.23,20.58
2020-09-07 15:41:27.3060,-4.94,15.17,13.26,20.74
2020-09-07 15:41:27.4060,-4.87,15.22,13.22,20.74
2020-09-07 15:41:27.5060,-4.76,15.11,13.35,20.72
2020-09-07 15:41:27.6060,-5.05,14.88,13.29,20.58
2020-09-07 15:41:27.7060,-4.91,14.84,13.24,20.48
2020-09-07 15:41:27.8060,-4.87,14.92,13.21,20.51
2020-09-07 15:41:27.9060,-5.13,14.93,13.39,20.7
2020-09-07 15:41:28.0060,-4.83,14.9,13.3,20.55
2020-09-07 15:41:28.1070,-5.08,14.73,13.14,20.38
2020-09-07 15:41:28.2060,-5.05,15.0,13.28,20.66
2020-09-07 15:41:28.3060,-4.86,14.8,13.23,20.44
2020-09-07 15:41:28.4060,-5.24,14.96,13.28,20.68
2020-09-07 15:41:28.5060,-4.89,14.84,13.47,20.63
2020-09-07 15:41:28.6060,-4.86,15.0,13.29,20.62
2020-09-07 15:41:28.7060,-4.89,15.0,13.31,20.64
2020-09-07 15:41:28.8060,-5.22,15.2,13.47,20.97
2020-09-07 15:41:28.9070,-5.26,14.81,13.53,20.74
2020-09-07 15:41:29.0070,-5.21,14.98,13.23,20.65
2020-09-07 15:41:29.1060,-5.1,14.79,13.37,20.58
2020-09-07 15:41:29.2070,-5.03,14.95,13.25,20.6
2020-09-07 15:41:29.3070,-5.32,14.95,13.25,20.67
2020-09-07 15:41:29.4260,-5.24,15.13,13.11,20.69
2020-09-07 15:41:29.5260,-5.06,14.81,13.2,20.47
2020-09-07 15:41:29.6250,-5.19,14.77,13.22,20.49
2020-09-07 15:41:29.7240,-5.08,14.88,13.26,20.57
2020-09-07 15:41:29.8210,-5.15,14.82,13.22,20.52
2020-09-07 15:41:29.9160,-5.16,14.99,13.33,20.72
2020-09-07 15:41:30.0160,-5.09,14.72,13.43,20.57
2020-09-07 15:41:30.1160,-5.16,14.89,13.07,20.47
2020-09-07 15:41:30.2190,-5.11,14.86,13.3,20.59
2020-09-07 15:41:30.3180,-4.9,15.02,13.12,20.54
2020-09-07 15:41:30.4170,-5.07,14.95,13.48,20.76
2020-09-07 15:41:30.5170,-4.99,15.22,13.28,20.81
2020-09-07 15:41:30.6160,-4.92,15.2,13.32,20.8
2020-09-07 15:41:30.7160,-5.16,14.83,13.08,20.44
2020-09-07 15:41:30.8120,-4.8,14.78,13.33,20.47
2020-09-07 15:41:30.9160,-4.95,15.01,13.33,20.68
2020-09-07 15:41:31.0160,-5.08,15.07,13.34,20.76
2020-09-07 15:41:31.1150,-5.22,15.31,13.36,20.98
2020-09-07 15:41:31.2150,-5.07,15.12,13.35,20.8
2020-09-07 15:41:31.3140,-5.08,14.93,13.37,20.67
2020-09-07 15:41:31.4110,-5.03,15.01,13.53,20.82
2020-09-07 15:41:31.5100,-5.06,14.97,13.25,20.62
2020-09-07 15:41:31.6080,-4.88,14.93,13.31,20.59
2020-09-07 15:41:31.7090,-4.77,15.03,13.41,20.7
2020-09-07 15:41:31.8090,-4.94,15.13,13.37,20.78
2020-09-07 15:41:31.9080,-4.95,14.88,13.04,20.4
2020-09-07 15:41:32.0080,-5.24,15.0,13.1,20.59
2020-09-07 15:41:32.1100,-4.94,14.82,13.6,20.71
