time,Bx,By,Bz,Btotal
2020-09-08 22:44:20.6170,18.71,63.59,-52.6,84.62
2020-09-08 22:44:20.7170,19.02,63.63,-52.6,84.71
2020-09-08 22:44:20.8170,18.87,63.53,-52.92,84.8
2020-09-08 22:44:20.9180,18.93,63.73,-52.68,84.83
2020-09-08 22:44:21.0180,18.69,63.35,-52.52,84.39
2020-09-08 22:44:21.1180,18.87,63.61,-53.04,84.94
2020-09-08 22:44:21.2180,19.15,63.65,-52.76,84.86
2020-09-08 22:44:21.3180,19.09,63.6,-52.93,84.92
2020-09-08 22:44:21.4180,18.99,63.33,-52.76,84.59
2020-09-08 22:44:21.5180,19.08,63.4,-52.69,84.62
2020-09-08 22:44:21.6180,18.84,63.47,-52.74,84.64
2020-09-08 22:44:21.7180,18.85,63.52,-52.81,84.73
2020-09-08 22:44:21.8180,18.77,63.13,-52.86,84.45
2020-09-08 22:44:21.9180,18.93,63.22,-52.89,84.57
2020-09-08 22:44:22.0180,19.17,63.38,-52.66,84.6
2020-09-08 22:44:22.1180,19.18,63.28,-52.71,84.57
2020-09-08 22:44:22.2180,18.78,63.42,-52.69,84.57
2020-09-08 22:44:22.3180,19.25,63.43,-52.83,84.76
2020-09-08 22:44:22.4180,18.96,63.44,-52.98,84.8
2020-09-08 22:44:22.5190,19.04,63.4,-52.8,84.68
2020-09-08 22:44:22.6190,18.91,63.32,-52.84,84.62
2020-09-08 22:44:22.7190,18.83,63.38,-52.91,84.69
2020-09-08 22:44:22.8180,18.87,63.26,-52.84,84.56
2020-09-08 22:44:22.9190,19.15,63.22,-52.86,84.6
2020-09-08 22:44:23.0190,19.04,63.54,-53.0,84.91
2020-09-08 22:44:23.1190,18.95,63.24,-52.8,84.53
2020-09-08 22:44:23.2190,19.13,63.42,-52.82,84.72
2020-09-08 22:44:23.3190,19.13,63.52,-52.83,84.8
2020-09-08 22:44:23.4190,18.99,63.55,-53.05,84.93
2020-09-08 22:44:23.5190,18.92,63.39,-52.94,84.72
2020-09-08 22:44:23.6190,18.77,63.38,-52.68,84.53
2020-09-08 22:44:23.7190,18.86,63.83,-52.74,84.92
2020-09-08 22:44:23.8190,19.14,63.38,-52.86,84.72
2020-09-08 22:44:23.9230,18.82,63.75,-52.7,84.83
2020-09-08 22:44:24.0190,19.15,63.73,-52.75,84.91
