time,Bx,By,Bz,Btotal
2020-09-08 21:9:04.8520,27.21,9.92,-3.13,29.13
2020-09-08 21:9:04.9530,27.64,9.91,-3.21,29.54
2020-09-08 21:9:05.0520,27.31,9.77,-3.2,29.18
2020-09-08 21:9:05.1510,27.76,9.79,-2.86,29.57
2020-09-08 21:9:05.2510,27.21,9.78,-2.99,29.06
2020-09-08 21:9:05.3510,27.4,9.75,-2.81,29.22
2020-09-08 21:9:05.4510,27.59,9.89,-2.99,29.46
2020-09-08 21:9:05.5510,27.78,9.76,-3.08,29.61
2020-09-08 21:9:05.6510,27.46,9.68,-3.09,29.28
2020-09-08 21:9:05.7520,27.41,9.51,-2.98,29.17
2020-09-08 21:9:05.8510,27.54,9.68,-3.19,29.36
2020-09-08 21:9:05.9520,27.45,9.7,-2.82,29.24
2020-09-08 21:9:06.0520,27.25,9.62,-3.03,29.06
2020-09-08 21:9:06.1520,27.34,10.0,-3.08,29.28
2020-09-08 21:9:06.2520,27.43,9.63,-3.05,29.23
2020-09-08 21:9:06.3520,27.56,9.87,-2.99,29.42
2020-09-08 21:9:06.4520,27.42,10.15,-2.98,29.39
2020-09-08 21:9:06.5520,27.42,9.91,-2.89,29.3
2020-09-08 21:9:06.6520,27.32,9.9,-3.08,29.22
2020-09-08 21:9:06.7520,27.56,9.74,-3.14,29.39
2020-09-08 21:9:06.8520,27.51,9.54,-3.08,29.28
2020-09-08 21:9:06.9520,27.51,9.68,-2.94,29.31
2020-09-08 21:9:07.0520,27.6,9.56,-2.99,29.36
2020-09-08 21:9:07.1520,27.35,10.1,-3.02,29.31
2020-09-08 21:9:07.2530,27.34,9.57,-3.11,29.14
2020-09-08 21:9:07.3530,27.51,9.61,-2.85,29.28
2020-09-08 21:9:07.4530,27.31,9.75,-2.77,29.13
2020-09-08 21:9:07.5520,27.51,9.58,-3.08,29.29
2020-09-08 21:9:07.6530,27.64,9.65,-3.12,29.44
2020-09-08 21:9:07.7530,27.5,9.63,-2.8,29.27
2020-09-08 21:9:07.8530,27.54,9.46,-3.11,29.29
2020-09-08 21:9:07.9530,27.54,9.61,-2.83,29.31
2020-09-08 21:9:08.0530,27.6,9.64,-3.18,29.41
2020-09-08 21:9:08.1530,27.67,9.56,-3.07,29.43
2020-09-08 21:9:08.2530,27.3,9.8,-3.13,29.17
2020-09-08 21:9:08.3530,26.98,9.58,-3.01,28.79
2020-09-08 21:9:08.4530,27.07,9.75,-3.04,28.94
2020-09-08 21:9:08.5530,27.32,9.73,-3.2,29.17
2020-09-08 21:9:08.6530,27.23,9.6,-3.09,29.04
2020-09-08 21:9:08.7530,27.39,9.68,-2.87,29.2
2020-09-08 21:9:08.8540,27.31,9.73,-3.05,29.15
2020-09-08 21:9:08.9530,27.77,9.55,-2.88,29.5
2020-09-08 21:9:09.0530,27.71,9.86,-3.16,29.58
2020-09-08 21:9:09.1650,27.46,9.49,-3.16,29.22
2020-09-08 21:9:09.2640,27.32,9.47,-3.0,29.07
2020-09-08 21:9:09.3660,27.27,9.61,-3.02,29.07
2020-09-08 21:9:09.4710,27.47,9.62,-2.97,29.26
2020-09-08 21:9:09.5640,27.75,9.61,-2.94,29.52
2020-09-08 21:9:09.6630,27.71,9.83,-3.04,29.56
2020-09-08 21:9:09.7630,27.63,9.71,-2.94,29.43
2020-09-08 21:9:09.8620,27.31,9.85,-2.88,29.17
