time,Bx,By,Bz,Btotal
2020-09-07 15:54:12.6050,7.59,15.34,125.1,126.27
2020-09-07 15:54:12.7030,7.28,15.33,125.21,126.35
2020-09-07 15:54:12.8030,7.62,15.22,125.19,126.34
2020-09-07 15:54:12.9030,7.23,15.37,125.21,126.35
2020-09-07 15:54:13.0030,7.49,15.13,125.13,126.26
2020-09-07 15:54:13.1030,7.61,15.26,124.96,126.12
2020-09-07 15:54:13.2030,7.7,15.39,125.14,126.32
2020-09-07 15:54:13.3030,7.92,15.36,125.35,126.53
2020-09-07 15:54:13.4040,7.75,15.07,125.04,126.18
2020-09-07 15:54:13.5040,7.57,15.21,125.08,126.22
2020-09-07 15:54:13.6040,7.42,15.33,125.08,126.23
2020-09-07 15:54:13.7040,7.74,15.39,125.03,126.21
2020-09-07 15:54:13.8040,7.32,15.42,125.05,126.21
2020-09-07 15:54:13.9040,7.33,15.61,125.14,126.32
2020-09-07 15:54:14.0040,7.41,15.45,125.05,126.22
2020-09-07 15:54:14.1040,7.34,15.12,125.09,126.22
2020-09-07 15:54:14.2040,7.66,15.52,125.02,126.21
2020-09-07 15:54:14.3040,7.41,15.42,125.26,126.43
2020-09-07 15:54:14.4040,7.29,15.3,125.22,126.36
2020-09-07 15:54:14.5040,6.85,15.34,125.07,126.19
2020-09-07 15:54:14.6040,7.22,15.41,125.17,126.32
2020-09-07 15:54:14.7040,7.43,15.3,125.15,126.3
2020-09-07 15:54:14.8040,7.37,15.52,125.22,126.39
2020-09-07 15:54:14.9040,7.26,15.15,125.15,126.27
2020-09-07 15:54:15.0040,7.24,15.23,125.19,126.32
2020-09-07 15:54:15.1040,7.31,15.25,125.06,126.19
2020-09-07 15:54:15.2040,7.13,15.22,124.98,126.1
2020-09-07 15:54:15.3050,7.08,15.25,124.91,126.04
2020-09-07 15:54:15.4050,7.46,15.44,125.05,126.22
2020-09-07 15:54:15.5230,7.81,15.02,124.88,126.03
2020-09-07 15:54:15.6220,7.5,15.2,124.94,126.08
2020-09-07 15:54:15.7220,7.74,15.18,125.05,126.21
2020-09-07 15:54:15.8210,7.46,15.35,124.97,126.13
2020-09-07 15:54:15.9180,7.53,15.23,125.08,126.23
2020-09-07 15:54:16.0140,7.23,15.44,125.12,126.27
2020-09-07 15:54:16.1190,7.53,14.99,124.84,125.96
2020-09-07 15:54:16.2150,7.79,15.24,125.03,126.2
2020-09-07 15:54:16.3150,7.56,15.17,125.04,126.18
2020-09-07 15:54:16.4170,7.54,15.17,125.14,126.28
2020-09-07 15:54:16.5160,7.47,15.13,124.98,126.11
2020-09-07 15:54:16.6150,7.86,15.24,125.21,126.38
2020-09-07 15:54:16.7120,7.63,15.17,125.01,126.16
2020-09-07 15:54:16.8140,7.57,15.05,125.1,126.23
2020-09-07 15:54:16.9130,7.36,15.14,125.08,126.2
2020-09-07 15:54:17.0110,7.54,15.29,124.99,126.15
2020-09-07 15:54:17.1120,7.77,15.03,125.05,126.19
2020-09-07 15:54:17.2100,7.49,15.13,125.09,126.22
2020-09-07 15:54:17.3100,7.27,15.14,125.0,126.12
2020-09-07 15:54:17.4060,7.54,15.27,125.12,126.28
2020-09-07 15:54:17.5050,7.69,15.21,124.95,126.11
2020-09-07 15:54:17.6060,7.68,15.03,124.87,126.01
2020-09-07 15:54:17.7060,7.45,15.1,124.93,126.06
2020-09-07 15:54:17.8060,7.49,15.0,125.12,126.24
2020-09-07 15:54:17.9060,7.49,15.03,125.03,126.15
2020-09-07 15:54:18.0060,7.59,15.13,124.97,126.11
2020-09-07 15:54:18.1060,7.65,15.12,124.98,126.13
2020-09-07 15:54:18.2060,7.76,14.83,125.02,126.14
2020-09-07 15:54:18.3060,7.5,15.23,124.95,126.09
2020-09-07 15:54:18.4060,7.82,15.11,125.11,126.26
2020-09-07 15:54:18.5060,7.75,15.03,125.07,126.2
2020-09-07 15:54:18.6060,7.72,15.09,125.16,126.3
2020-09-07 15:54:18.7060,7.81,15.0,125.07,126.2
2020-09-07 15:54:18.8060,7.74,15.01,124.94,126.07
2020-09-07 15:54:18.9060,7.51,14.92,124.98,126.09
2020-09-07 15:54:19.0060,7.43,15.26,125.13,126.27
2020-09-07 15:54:19.1060,7.48,15.06,124.82,125.95
2020-09-07 15:54:19.2070,7.34,14.86,124.92,126.02
2020-09-07 15:54:19.3060,7.25,15.08,124.98,126.1
2020-09-07 15:54:19.4070,7.25,15.43,125.23,126.38
2020-09-07 15:54:19.5070,7.71,14.96,125.19,126.32
2020-09-07 15:54:19.6070,7.32,15.4,125.01,126.16
2020-09-07 15:54:19.7070,7.74,15.24,125.11,126.27
2020-09-07 15:54:19.8070,7.81,15.17,125.16,126.32
2020-09-07 15:54:19.9070,7.53,15.14,124.93,126.06
2020-09-07 15:54:20.0070,7.34,15.02,125.05,126.16
2020-09-07 15:54:20.1070,7.6,14.87,125.03,126.14
2020-09-07 15:54:20.2070,7.36,14.96,125.01,126.12
2020-09-07 15:54:20.3070,7.55,15.05,125.03,126.16
2020-09-07 15:54:20.4070,7.6,15.18,125.04,126.19
2020-09-07 15:54:20.5070,7.48,15.25,125.08,126.23
2020-09-07 15:54:20.6070,7.34,15.09,124.84,125.97
2020-09-07 15:54:20.7080,7.29,15.19,125.13,126.26
2020-09-07 15:54:20.8070,7.51,14.96,124.85,125.97
2020-09-07 15:54:20.9080,7.33,15.21,124.99,126.12
2020-09-07 15:54:21.0080,7.55,14.93,124.93,126.04
2020-09-07 15:54:21.1070,7.22,15.13,124.98,126.1
2020-09-07 15:54:21.2080,7.59,14.96,125.08,126.2
2020-09-07 15:54:21.3080,7.39,14.89,125.13,126.23
2020-09-07 15:54:21.4080,7.26,15.1,125.25,126.36
2020-09-07 15:54:21.5080,7.43,14.91,124.95,126.06
2020-09-07 15:54:21.6080,7.76,14.96,125.05,126.19
2020-09-07 15:54:21.7080,7.42,15.18,124.98,126.12
2020-09-07 15:54:21.8080,7.39,15.24,125.0,126.14
2020-09-07 15:54:21.9240,7.21,15.2,124.85,125.98
2020-09-07 15:54:22.0260,7.3,15.16,125.26,126.38
2020-09-07 15:54:22.1230,7.41,15.31,125.23,126.38
2020-09-07 15:54:22.2230,7.18,15.14,125.27,126.39
2020-09-07 15:54:22.3240,7.13,15.12,125.17,126.28
2020-09-07 15:54:22.4220,7.15,15.32,125.25,126.39
2020-09-07 15:54:22.5210,7.11,15.54,125.43,126.59
2020-09-07 15:54:22.6210,7.02,15.26,125.07,126.19
2020-09-07 15:54:22.7210,7.23,15.23,125.29,126.42
2020-09-07 15:54:22.8200,7.28,15.47,125.0,126.16
2020-09-07 15:54:22.9200,7.58,15.29,125.12,126.28
