time,Bx,By,Bz,Btotal
2020-09-08 15:52:42.7530,10.61,11.87,0.25,15.93
2020-09-08 15:52:42.8530,10.95,12.04,-0.08,16.28
2020-09-08 15:52:42.9520,11.16,11.99,-0.13,16.38
2020-09-08 15:52:43.0580,10.83,11.85,-0.17,16.05
2020-09-08 15:52:43.1540,10.91,11.88,-0.08,16.12
2020-09-08 15:52:43.2490,10.79,11.83,-0.01,16.01
2020-09-08 15:52:43.3520,10.48,11.78,-0.0,15.77
2020-09-08 15:52:43.4560,11.12,11.82,-0.31,16.23
2020-09-08 15:52:43.5560,11.14,11.79,-0.15,16.22
2020-09-08 15:52:43.6490,11.02,11.87,0.08,16.2
2020-09-08 15:52:43.7540,11.14,11.91,-0.11,16.31
2020-09-08 15:52:43.8540,11.06,11.62,-0.02,16.04
2020-09-08 15:52:43.9530,11.16,11.74,0.0,16.2
2020-09-08 15:52:44.0520,10.82,11.74,-0.21,15.97
2020-09-08 15:52:44.1520,11.27,11.98,-0.2,16.44
2020-09-08 15:52:44.2490,11.0,11.9,-0.09,16.2
2020-09-08 15:52:44.3490,11.03,11.87,0.02,16.2
2020-09-08 15:52:44.4490,11.0,11.81,-0.06,16.14
2020-09-08 15:52:44.5420,10.72,11.81,-0.14,15.95
2020-09-08 15:52:44.6420,10.83,11.62,-0.24,15.89
2020-09-08 15:52:44.7440,10.91,11.92,-0.17,16.16
2020-09-08 15:52:44.8430,10.97,11.79,-0.13,16.1
2020-09-08 15:52:44.9430,10.99,11.79,-0.19,16.12
2020-09-08 15:52:45.0430,11.33,11.66,-0.33,16.26
2020-09-08 15:52:45.1430,10.52,11.94,-0.11,15.91
2020-09-08 15:52:45.2430,10.74,11.78,-0.42,15.95
2020-09-08 15:52:45.3430,11.14,11.74,-0.22,16.19
2020-09-08 15:52:45.4430,11.02,11.77,-0.34,16.13
2020-09-08 15:52:45.5430,11.36,11.9,-0.25,16.45
2020-09-08 15:52:45.6430,11.11,11.79,-0.08,16.2
2020-09-08 15:52:45.7430,11.03,11.79,-0.29,16.15
2020-09-08 15:52:45.8430,11.38,11.68,-0.2,16.31
2020-09-08 15:52:45.9430,11.0,11.81,-0.36,16.14
2020-09-08 15:52:46.0430,10.97,11.7,-0.01,16.04
