time,Bx,By,Bz,Btotal
2020-09-08 16:18:59.5470,10.7,1.08,-5.98,12.3
2020-09-08 16:18:59.6480,10.54,0.9,-5.89,12.11
2020-09-08 16:18:59.7480,10.87,1.02,-5.99,12.45
2020-09-08 16:18:59.8470,10.63,1.01,-5.88,12.19
2020-09-08 16:18:59.9460,10.56,0.92,-5.9,12.13
2020-09-08 16:19:00.0510,10.64,1.01,-6.14,12.33
2020-09-08 16:19:00.1500,10.6,1.0,-5.95,12.2
2020-09-08 16:19:00.2500,10.44,1.02,-6.12,12.14
2020-09-08 16:19:00.3490,10.49,0.73,-6.14,12.18
2020-09-08 16:19:00.4490,10.42,0.91,-6.07,12.09
2020-09-08 16:19:00.5450,10.83,0.91,-6.05,12.43
2020-09-08 16:19:00.6440,10.58,1.08,-6.02,12.23
2020-09-08 16:19:00.7470,10.81,1.33,-6.13,12.49
2020-09-08 16:19:00.8470,10.52,0.86,-6.21,12.24
2020-09-08 16:19:00.9440,10.54,1.03,-6.09,12.21
2020-09-08 16:19:01.0460,10.36,1.0,-6.07,12.05
2020-09-08 16:19:01.1450,10.29,0.92,-6.09,11.99
2020-09-08 16:19:01.2440,10.47,0.86,-5.95,12.07
2020-09-08 16:19:01.3470,10.41,1.09,-6.01,12.08
2020-09-08 16:19:01.4440,10.69,1.01,-6.34,12.47
2020-09-08 16:19:01.5450,10.29,1.17,-6.28,12.11
2020-09-08 16:19:01.6440,10.49,1.18,-6.07,12.18
2020-09-08 16:19:01.7440,10.49,1.18,-6.08,12.18
2020-09-08 16:19:01.8440,10.54,0.88,-6.0,12.16
2020-09-08 16:19:01.9440,10.44,1.18,-5.79,11.99
2020-09-08 16:19:02.0440,10.49,1.06,-6.04,12.15
2020-09-08 16:19:02.1440,10.71,0.91,-5.99,12.3
2020-09-08 16:19:02.2440,10.7,0.72,-6.13,12.35
2020-09-08 16:19:02.3440,10.08,1.23,-5.85,11.72
2020-09-08 16:19:02.4440,10.41,0.9,-6.14,12.11
2020-09-08 16:19:02.5450,10.53,0.89,-6.16,12.24
2020-09-08 16:19:02.6450,10.65,1.19,-6.05,12.3
2020-09-08 16:19:02.7450,10.57,1.22,-5.86,12.14
