time,Bx,By,Bz,Btotal
2020-09-07 18:1:02.0380,-13.01,19.06,8.4,24.56
2020-09-07 18:1:02.1350,-13.16,18.94,8.49,24.58
2020-09-07 18:1:02.2400,-13.15,19.03,8.67,24.7
2020-09-07 18:1:02.3390,-13.22,19.1,8.42,24.71
2020-09-07 18:1:02.4330,-13.35,19.15,8.45,24.82
2020-09-07 18:1:02.5380,-13.08,19.1,8.43,24.64
2020-09-07 18:1:02.6370,-13.03,19.06,8.35,24.55
2020-09-07 18:1:02.7370,-12.91,19.02,8.32,24.45
2020-09-07 18:1:02.8330,-13.06,18.95,8.53,24.54
2020-09-07 18:1:02.9300,-12.94,18.74,8.55,24.32
2020-09-07 18:1:03.0320,-13.12,18.93,8.34,24.49
2020-09-07 18:1:03.1280,-13.03,18.8,8.47,24.39
2020-09-07 18:1:03.2280,-12.99,18.86,8.53,24.44
2020-09-07 18:1:03.3270,-12.88,18.98,8.5,24.46
2020-09-07 18:1:03.4300,-13.18,18.9,8.5,24.56
2020-09-07 18:1:03.5300,-12.88,18.99,8.58,24.49
2020-09-07 18:1:03.6290,-12.85,18.85,8.96,24.51
2020-09-07 18:1:03.7280,-12.75,18.95,8.29,24.29
2020-09-07 18:1:03.8290,-12.83,18.69,8.52,24.22
2020-09-07 18:1:03.9270,-13.02,18.7,8.41,24.28
2020-09-07 18:1:04.0280,-13.07,18.93,8.5,24.52
2020-09-07 18:1:04.1270,-13.07,18.64,8.43,24.28
2020-09-07 18:1:04.2270,-13.25,18.93,8.5,24.62
2020-09-07 18:1:04.3240,-13.22,18.8,8.5,24.51
2020-09-07 18:1:04.4260,-12.89,18.82,8.56,24.36
2020-09-07 18:1:04.5260,-12.85,18.69,8.4,24.18
2020-09-07 18:1:04.6250,-12.89,18.88,8.47,24.38
2020-09-07 18:1:04.7230,-12.95,19.02,9.1,24.74
2020-09-07 18:1:04.8260,-12.8,18.93,8.59,24.41
2020-09-07 18:1:04.9260,-12.95,18.98,8.26,24.42
2020-09-07 18:1:05.0240,-13.41,19.08,8.71,24.9
2020-09-07 18:1:05.1230,-12.96,19.18,8.44,24.64
2020-09-07 18:1:05.2230,-13.1,18.95,8.71,24.63
2020-09-07 18:1:05.3230,-12.76,19.01,8.61,24.46
2020-09-07 18:1:05.4230,-13.06,19.29,8.6,24.83
2020-09-07 18:1:05.5230,-13.1,19.08,8.53,24.67
2020-09-07 18:1:05.6230,-13.06,19.13,8.74,24.76
2020-09-07 18:1:05.7230,-12.95,19.14,8.29,24.55
2020-09-07 18:1:05.8230,-13.24,19.1,8.5,24.75
2020-09-07 18:1:05.9230,-13.33,18.92,8.46,24.64
2020-09-07 18:1:06.0230,-12.88,19.02,8.34,24.44
2020-09-07 18:1:06.1220,-13.07,19.28,8.49,24.79
2020-09-07 18:1:06.2230,-13.19,19.21,8.77,24.9
2020-09-07 18:1:06.3220,-13.08,18.93,8.53,24.54
2020-09-07 18:1:06.4230,-12.89,19.03,8.53,24.52
2020-09-07 18:1:06.5230,-12.91,18.95,8.48,24.45
2020-09-07 18:1:06.6220,-12.72,18.66,8.47,24.12
2020-09-07 18:1:06.7230,-13.2,19.03,8.46,24.66
2020-09-07 18:1:06.8230,-13.02,18.95,8.42,24.48
2020-09-07 18:1:06.9220,-13.02,19.14,8.49,24.66
2020-09-07 18:1:07.0220,-12.83,19.07,8.51,24.51
2020-09-07 18:1:07.1220,-12.96,19.14,8.57,24.65
2020-09-07 18:1:07.2220,-13.07,19.14,8.44,24.67
2020-09-07 18:1:07.3220,-12.96,19.12,8.34,24.55
2020-09-07 18:1:07.4220,-13.01,19.06,8.32,24.53
2020-09-07 18:1:07.5230,-13.29,19.06,8.49,24.74
2020-09-07 18:1:07.6220,-12.7,18.86,8.5,24.28
2020-09-07 18:1:07.7220,-13.04,18.88,8.41,24.44
2020-09-07 18:1:07.8220,-13.08,18.78,8.64,24.47
2020-09-07 18:1:07.9220,-13.08,18.92,8.46,24.51
2020-09-07 18:1:08.0220,-12.95,18.78,8.36,24.3
2020-09-07 18:1:08.1220,-13.12,18.89,8.69,24.59
2020-09-07 18:1:08.2220,-13.14,18.96,8.46,24.57
2020-09-07 18:1:08.3220,-12.83,19.07,8.54,24.52
2020-09-07 18:1:08.4220,-13.1,18.91,8.5,24.53
2020-09-07 18:1:08.5220,-13.11,18.98,8.34,24.53
2020-09-07 18:1:08.6220,-13.11,18.79,8.55,24.46
2020-09-07 18:1:08.7220,-12.93,18.8,8.51,24.35
2020-09-07 18:1:08.8220,-13.1,18.83,8.22,24.37
2020-09-07 18:1:08.9220,-13.4,18.91,8.47,24.68
2020-09-07 18:1:09.0220,-12.89,18.91,8.36,24.37
2020-09-07 18:1:09.1220,-13.59,19.27,8.66,25.12
2020-09-07 18:1:09.2220,-13.42,18.74,8.55,24.58
2020-09-07 18:1:09.3220,-13.31,18.85,8.55,24.61
2020-09-07 18:1:09.4220,-13.11,18.83,8.37,24.42
2020-09-07 18:1:09.5220,-12.93,18.97,8.4,24.45
