time,Bx,By,Bz,Btotal
2020-09-08 22:5:08.2110,-65.69,-22.95,-13.97,70.97
2020-09-08 22:5:08.3310,-65.67,-22.69,-14.03,70.88
2020-09-08 22:5:08.4300,-65.84,-22.62,-14.23,71.05
2020-09-08 22:5:08.5260,-66.37,-22.55,-13.98,71.48
2020-09-08 22:5:08.6250,-66.17,-22.56,-13.93,71.28
2020-09-08 22:5:08.7250,-66.02,-22.82,-14.01,71.24
2020-09-08 22:5:08.8240,-66.15,-22.92,-13.94,71.38
2020-09-08 22:5:08.9230,-66.03,-22.81,-14.17,71.28
2020-09-08 22:5:09.0240,-65.75,-22.68,-13.89,70.93
2020-09-08 22:5:09.1230,-65.97,-22.52,-14.1,71.12
2020-09-08 22:5:09.2230,-65.75,-22.59,-13.95,70.91
2020-09-08 22:5:09.3230,-66.05,-22.82,-14.02,71.27
2020-09-08 22:5:09.4220,-66.05,-22.9,-14.13,71.32
2020-09-08 22:5:09.5220,-66.41,-22.51,-14.06,71.52
2020-09-08 22:5:09.6220,-65.95,-22.84,-13.92,71.16
2020-09-08 22:5:09.7150,-65.89,-22.66,-13.91,71.05
2020-09-08 22:5:09.8170,-66.06,-22.6,-14.05,71.22
2020-09-08 22:5:09.9120,-65.96,-22.73,-14.11,71.18
2020-09-08 22:5:10.0130,-66.01,-22.74,-14.01,71.21
2020-09-08 22:5:10.1120,-65.69,-22.45,-13.96,70.81
2020-09-08 22:5:10.2120,-65.66,-22.57,-13.94,70.81
2020-09-08 22:5:10.3170,-65.85,-22.66,-13.93,71.02
2020-09-08 22:5:10.4140,-65.81,-22.76,-14.05,71.04
2020-09-08 22:5:10.5160,-65.73,-22.73,-14.19,70.98
2020-09-08 22:5:10.6130,-65.85,-23.06,-14.09,71.18
2020-09-08 22:5:10.7130,-66.04,-22.84,-14.01,71.27
2020-09-08 22:5:10.8130,-65.94,-22.73,-14.05,71.15
2020-09-08 22:5:10.9120,-65.75,-22.85,-14.12,71.03
2020-09-08 22:5:11.0120,-65.84,-22.71,-14.08,71.06
2020-09-08 22:5:11.1120,-66.04,-22.65,-13.73,71.15
2020-09-08 22:5:11.2120,-66.08,-22.44,-13.96,71.17
2020-09-08 22:5:11.3120,-65.87,-22.57,-14.09,71.05
2020-09-08 22:5:11.4120,-65.89,-22.68,-14.09,71.09
2020-09-08 22:5:11.5130,-65.86,-22.6,-13.9,71.0
2020-09-08 22:5:11.6130,-65.99,-22.5,-13.81,71.08
2020-09-08 22:5:11.7130,-65.94,-22.58,-14.09,71.11
2020-09-08 22:5:11.8130,-65.82,-22.65,-13.98,71.0
2020-09-08 22:5:11.9130,-65.77,-22.77,-14.04,71.0
2020-09-08 22:5:12.0130,-66.32,-22.45,-13.9,71.38
2020-09-08 22:5:12.1130,-65.61,-22.75,-13.99,70.84
2020-09-08 22:5:12.2130,-65.64,-23.01,-14.17,70.98
2020-09-08 22:5:12.3130,-65.86,-22.72,-13.9,71.04
2020-09-08 22:5:12.4130,-66.06,-22.68,-14.0,71.24
2020-09-08 22:5:12.5130,-66.1,-22.78,-14.09,71.32
2020-09-08 22:5:12.6130,-66.18,-22.71,-13.97,71.35
2020-09-08 22:5:12.7130,-66.09,-22.69,-13.97,71.26
2020-09-08 22:5:12.8130,-66.35,-22.45,-13.97,71.42
2020-09-08 22:5:12.9130,-65.97,-22.57,-14.02,71.12
2020-09-08 22:5:13.0140,-65.93,-22.46,-14.0,71.05
2020-09-08 22:5:13.1140,-65.92,-22.5,-14.24,71.09
2020-09-08 22:5:13.2140,-65.94,-22.57,-14.11,71.1
2020-09-08 22:5:13.3140,-65.64,-22.62,-14.27,70.88
2020-09-08 22:5:13.4140,-65.93,-22.91,-14.09,71.21
2020-09-08 22:5:13.5140,-65.82,-22.69,-13.93,71.01
