time,Bx,By,Bz,Btotal
2020-09-07 15:27:52.0880,-4.99,14.55,8.71,17.68
2020-09-07 15:27:52.1880,-4.8,14.4,8.61,17.45
2020-09-07 15:27:52.2880,-4.77,14.3,8.74,17.42
2020-09-07 15:27:52.3880,-4.93,14.31,8.6,17.41
2020-09-07 15:27:52.4880,-4.73,14.56,8.67,17.6
2020-09-07 15:27:52.5880,-4.8,14.47,8.49,17.45
2020-09-07 15:27:52.6880,-4.39,14.62,8.51,17.48
2020-09-07 15:27:52.7880,-5.15,14.49,8.54,17.59
2020-09-07 15:27:52.8880,-4.7,14.52,8.38,17.41
2020-09-07 15:27:52.9880,-4.8,14.5,8.39,17.43
2020-09-07 15:27:53.0890,-4.83,14.26,8.55,17.32
2020-09-07 15:27:53.1890,-4.78,14.42,8.41,17.36
2020-09-07 15:27:53.2890,-4.65,14.45,8.62,17.46
2020-09-07 15:27:53.3890,-4.68,14.6,8.59,17.58
2020-09-07 15:27:53.4890,-4.75,14.47,8.52,17.45
2020-09-07 15:27:53.6070,-4.96,14.39,8.7,17.54
2020-09-07 15:27:53.7070,-5.01,14.4,8.58,17.49
2020-09-07 15:27:53.8070,-4.63,14.39,8.48,17.33
2020-09-07 15:27:53.9060,-4.83,14.68,8.42,17.59
2020-09-07 15:27:54.0060,-4.65,14.69,8.47,17.59
2020-09-07 15:27:54.1050,-4.79,14.62,8.49,17.57
2020-09-07 15:27:54.2020,-4.77,14.54,8.42,17.46
2020-09-07 15:27:54.2980,-4.76,14.45,8.44,17.4
2020-09-07 15:27:54.4010,-4.77,14.32,8.51,17.33
2020-09-07 15:27:54.5010,-4.67,14.46,8.39,17.35
2020-09-07 15:27:54.6000,-4.62,14.43,8.38,17.31
2020-09-07 15:27:54.7000,-4.83,14.45,8.34,17.37
2020-09-07 15:27:54.7990,-4.87,14.61,8.44,17.56
2020-09-07 15:27:54.8980,-4.97,14.7,8.37,17.63
2020-09-07 15:27:54.9990,-4.76,14.38,8.38,17.31
2020-09-07 15:27:55.0970,-4.73,14.22,8.59,17.27
2020-09-07 15:27:55.1980,-4.73,14.39,8.66,17.45
2020-09-07 15:27:55.2980,-5.24,14.32,8.42,17.41
2020-09-07 15:27:55.3970,-4.96,14.47,8.79,17.64
2020-09-07 15:27:55.4980,-4.89,14.41,8.59,17.47
2020-09-07 15:27:55.5960,-4.98,14.51,8.5,17.53
2020-09-07 15:27:55.6940,-5.07,14.54,8.56,17.62
2020-09-07 15:27:55.7920,-4.71,14.54,8.55,17.52
2020-09-07 15:27:55.8960,-4.53,14.56,8.4,17.41
2020-09-07 15:27:55.9950,-4.64,14.46,8.37,17.34
2020-09-07 15:27:56.0940,-4.56,14.53,8.49,17.43
2020-09-07 15:27:56.1900,-4.5,14.43,8.37,17.28
2020-09-07 15:27:56.2890,-4.75,14.45,8.51,17.43
2020-09-07 15:27:56.3900,-4.83,14.61,8.63,17.64
2020-09-07 15:27:56.4900,-4.87,14.57,8.5,17.56
2020-09-07 15:27:56.5900,-5.03,14.77,8.37,17.71
2020-09-07 15:27:56.6900,-4.64,14.53,8.34,17.38
2020-09-07 15:27:56.7900,-4.83,14.68,8.35,17.57
2020-09-07 15:27:56.8900,-4.74,14.61,8.52,17.56
2020-09-07 15:27:56.9900,-4.67,14.34,8.35,17.23
2020-09-07 15:27:57.0900,-4.66,14.49,8.33,17.36
2020-09-07 15:27:57.1900,-4.67,14.56,8.34,17.42
2020-09-07 15:27:57.2900,-4.73,14.2,8.42,17.17
2020-09-07 15:27:57.3900,-4.65,14.43,8.7,17.48
2020-09-07 15:27:57.4900,-4.52,14.25,8.61,17.25
2020-09-07 15:27:57.5900,-4.89,14.39,8.63,17.48
2020-09-07 15:27:57.6900,-4.53,14.55,8.43,17.41
2020-09-07 15:27:57.7910,-4.37,14.2,8.64,17.19
2020-09-07 15:27:57.8900,-4.69,14.13,8.68,17.23
2020-09-07 15:27:57.9900,-4.66,14.26,8.55,17.27
2020-09-07 15:27:58.0900,-4.68,14.34,8.53,17.33
2020-09-07 15:27:58.1900,-4.42,14.52,8.59,17.45
2020-09-07 15:27:58.2900,-4.51,14.49,8.57,17.42
2020-09-07 15:27:58.3910,-4.61,14.47,8.44,17.37
2020-09-07 15:27:58.4910,-4.73,14.54,8.66,17.58
2020-09-07 15:27:58.5910,-4.48,14.31,8.36,17.17
2020-09-07 15:27:58.6910,-4.67,14.36,8.34,17.25
2020-09-07 15:27:58.7910,-4.65,14.63,8.51,17.55
2020-09-07 15:27:58.8910,-4.24,14.3,8.7,17.26
2020-09-07 15:27:58.9910,-4.81,14.5,8.41,17.44
2020-09-07 15:27:59.0910,-4.73,14.48,8.4,17.4
2020-09-07 15:27:59.1910,-4.94,14.24,8.57,17.34
2020-09-07 15:27:59.2910,-5.05,14.29,8.49,17.37
2020-09-07 15:27:59.3910,-4.75,14.38,8.64,17.43
2020-09-07 15:27:59.4910,-4.55,14.55,8.48,17.44
2020-09-07 15:27:59.5910,-4.29,14.43,8.32,17.2
2020-09-07 15:27:59.6910,-4.55,14.54,8.32,17.36
2020-09-07 15:27:59.7910,-4.41,14.43,8.6,17.37
2020-09-07 15:27:59.8910,-4.51,14.49,8.48,17.39
