time,Bx,By,Bz,Btotal
2020-09-08 21:55:52.0750,5.33,13.35,-14.24,20.23
2020-09-08 21:55:52.1750,5.51,13.45,-14.39,20.45
2020-09-08 21:55:52.2740,5.25,13.29,-14.21,20.16
2020-09-08 21:55:52.3750,5.35,13.21,-14.68,20.46
2020-09-08 21:55:52.4750,5.58,13.28,-14.28,20.29
2020-09-08 21:55:52.5750,5.18,13.18,-14.46,20.24
2020-09-08 21:55:52.6750,5.48,13.32,-14.61,20.51
2020-09-08 21:55:52.7750,5.49,13.4,-14.52,20.51
2020-09-08 21:55:52.8750,5.47,13.24,-14.43,20.33
2020-09-08 21:55:52.9750,5.33,13.08,-14.56,20.28
2020-09-08 21:55:53.0750,5.29,13.12,-14.55,20.3
2020-09-08 21:55:53.1750,5.53,13.04,-14.32,20.15
2020-09-08 21:55:53.2750,5.61,13.39,-14.35,20.41
2020-09-08 21:55:53.3750,5.46,13.07,-14.47,20.25
2020-09-08 21:55:53.4760,5.26,13.17,-14.46,20.25
2020-09-08 21:55:53.5760,5.46,13.32,-14.61,20.51
2020-09-08 21:55:53.6760,5.59,13.18,-14.58,20.44
2020-09-08 21:55:53.7760,5.67,13.53,-14.42,20.57
2020-09-08 21:55:53.8760,5.35,13.08,-14.46,20.22
2020-09-08 21:55:53.9760,5.41,13.0,-14.65,20.32
2020-09-08 21:55:54.0760,5.38,12.9,-14.57,20.19
2020-09-08 21:55:54.1760,5.29,13.04,-14.63,20.3
2020-09-08 21:55:54.2760,5.22,13.42,-14.53,20.46
2020-09-08 21:55:54.3760,5.31,13.28,-14.53,20.39
2020-09-08 21:55:54.4760,5.23,13.07,-14.7,20.35
2020-09-08 21:55:54.5960,5.24,13.15,-14.59,20.33
2020-09-08 21:55:54.7030,5.31,13.11,-14.7,20.4
2020-09-08 21:55:54.7950,5.5,13.19,-14.51,20.36
2020-09-08 21:55:54.8940,5.44,13.37,-14.61,20.54
2020-09-08 21:55:54.9990,5.38,13.32,-14.49,20.4
2020-09-08 21:55:55.0920,5.16,13.22,-14.62,20.38
2020-09-08 21:55:55.1910,5.43,13.03,-14.6,20.31
2020-09-08 21:55:55.2890,5.24,13.21,-14.64,20.4
2020-09-08 21:55:55.3850,5.12,13.26,-14.49,20.3
2020-09-08 21:55:55.4830,5.36,13.03,-14.68,20.35
2020-09-08 21:55:55.5860,5.58,13.09,-14.39,20.23
2020-09-08 21:55:55.6860,5.08,13.14,-14.59,20.28
2020-09-08 21:55:55.7810,5.3,13.22,-14.63,20.42
2020-09-08 21:55:55.8800,5.42,13.3,-14.67,20.53
2020-09-08 21:55:55.9800,5.33,13.22,-14.56,20.38
2020-09-08 21:55:56.0900,5.35,13.24,-14.61,20.43
2020-09-08 21:55:56.1830,5.84,13.23,-14.63,20.57
2020-09-08 21:55:56.2830,5.58,12.88,-14.73,20.35
2020-09-08 21:55:56.3810,5.43,13.22,-14.51,20.37
