time,Bx,By,Bz,Btotal
2020-09-08 16:8:01.9820,17.98,7.29,3.83,19.78
2020-09-08 16:8:02.0820,17.58,7.11,3.8,19.35
2020-09-08 16:8:02.1800,17.81,7.55,3.88,19.73
2020-09-08 16:8:02.2850,17.96,7.28,3.8,19.75
2020-09-08 16:8:02.3840,17.59,7.06,3.81,19.33
2020-09-08 16:8:02.4840,17.69,7.03,3.8,19.41
2020-09-08 16:8:02.5830,17.78,6.91,3.89,19.47
2020-09-08 16:8:02.6830,17.68,7.17,3.78,19.45
2020-09-08 16:8:02.7830,17.71,6.88,3.69,19.36
2020-09-08 16:8:02.8820,17.64,7.06,3.88,19.39
2020-09-08 16:8:02.9790,17.91,7.09,3.94,19.66
2020-09-08 16:8:03.0800,17.47,7.09,3.87,19.24
2020-09-08 16:8:03.1790,17.48,7.08,3.84,19.25
2020-09-08 16:8:03.2790,17.6,7.09,3.71,19.34
2020-09-08 16:8:03.3790,17.46,7.34,3.82,19.32
2020-09-08 16:8:03.4790,17.53,7.22,3.86,19.35
2020-09-08 16:8:03.5790,17.96,7.24,3.87,19.74
2020-09-08 16:8:03.6790,17.52,7.01,3.83,19.25
2020-09-08 16:8:03.7790,17.74,7.12,3.8,19.49
2020-09-08 16:8:03.8790,17.7,7.12,3.82,19.46
2020-09-08 16:8:03.9800,17.59,7.02,4.09,19.37
2020-09-08 16:8:04.0790,17.67,6.87,3.82,19.34
2020-09-08 16:8:04.1800,17.33,7.07,3.93,19.12
2020-09-08 16:8:04.2800,17.57,7.14,3.83,19.35
2020-09-08 16:8:04.3800,17.66,7.14,3.8,19.43
2020-09-08 16:8:04.4800,17.53,7.13,3.96,19.34
2020-09-08 16:8:04.5800,17.98,7.11,3.71,19.68
2020-09-08 16:8:04.6800,17.62,7.12,3.78,19.38
2020-09-08 16:8:04.7800,17.66,7.07,3.85,19.41
2020-09-08 16:8:04.8800,17.79,6.82,3.88,19.45
2020-09-08 16:8:04.9800,17.49,7.03,3.81,19.23
2020-09-08 16:8:05.0800,17.73,7.18,3.8,19.5
2020-09-08 16:8:05.1800,17.65,7.22,3.93,19.47
2020-09-08 16:8:05.2800,17.42,7.26,3.77,19.25
2020-09-08 16:8:05.3800,17.73,7.18,3.96,19.54
2020-09-08 16:8:05.4800,17.79,6.97,3.77,19.47
2020-09-08 16:8:05.5800,17.76,7.17,3.96,19.56
