time,Bx,By,Bz,Btotal
2020-09-08 22:8:57.9310,118.15,-156.54,46.85,201.64
2020-09-08 22:8:58.0310,118.29,-156.74,46.78,201.87
2020-09-08 22:8:58.1310,118.3,-156.49,46.81,201.68
2020-09-08 22:8:58.2310,118.0,-156.46,46.84,201.49
2020-09-08 22:8:58.3310,117.69,-156.5,46.62,201.29
2020-09-08 22:8:58.4310,118.01,-156.56,46.82,201.57
2020-09-08 22:8:58.5310,118.08,-156.46,46.95,201.56
2020-09-08 22:8:58.6320,118.09,-156.45,46.86,201.54
2020-09-08 22:8:58.7310,117.99,-156.34,46.98,201.42
2020-09-08 22:8:58.8310,118.25,-156.59,46.75,201.72
2020-09-08 22:8:58.9310,118.05,-156.55,46.86,201.59
2020-09-08 22:8:59.0310,118.23,-156.5,46.75,201.63
2020-09-08 22:8:59.1480,118.0,-156.47,46.58,201.43
2020-09-08 22:8:59.2480,118.02,-156.57,46.78,201.57
2020-09-08 22:8:59.3460,118.15,-156.51,46.79,201.61
2020-09-08 22:8:59.4460,118.43,-156.42,46.69,201.67
2020-09-08 22:8:59.5460,118.45,-156.44,46.59,201.68
2020-09-08 22:8:59.6460,118.19,-156.26,46.67,201.4
2020-09-08 22:8:59.7450,118.28,-156.36,46.94,201.6
2020-09-08 22:8:59.8450,118.26,-156.37,46.66,201.53
2020-09-08 22:8:59.9450,118.12,-156.48,46.54,201.5
2020-09-08 22:9:00.0380,118.12,-156.32,46.85,201.45
2020-09-08 22:9:00.1440,117.98,-156.57,46.83,201.56
2020-09-08 22:9:00.2400,118.3,-156.58,46.61,201.71
2020-09-08 22:9:00.3390,118.51,-156.6,46.75,201.88
2020-09-08 22:9:00.4390,118.37,-156.67,46.55,201.8
2020-09-08 22:9:00.5390,118.32,-156.55,46.7,201.72
2020-09-08 22:9:00.6380,118.27,-156.76,46.58,201.82
2020-09-08 22:9:00.7380,118.07,-156.77,46.6,201.72
2020-09-08 22:9:00.8390,118.31,-156.74,46.71,201.85
2020-09-08 22:9:00.9380,118.21,-156.54,46.74,201.65
2020-09-08 22:9:01.0360,118.1,-156.63,46.78,201.67
2020-09-08 22:9:01.1370,118.05,-156.37,46.86,201.45
2020-09-08 22:9:01.2370,118.32,-156.34,46.77,201.57
2020-09-08 22:9:01.3350,118.46,-156.57,46.65,201.8
2020-09-08 22:9:01.4340,118.27,-156.46,46.73,201.62
2020-09-08 22:9:01.5320,118.27,-156.59,46.76,201.73
2020-09-08 22:9:01.6320,118.36,-156.49,46.58,201.66
2020-09-08 22:9:01.7330,118.33,-156.53,46.7,201.7
2020-09-08 22:9:01.8330,118.42,-156.65,46.91,201.89
2020-09-08 22:9:01.9330,117.87,-156.77,46.58,201.59
2020-09-08 22:9:02.0330,118.32,-156.79,46.62,201.88
2020-09-08 22:9:02.1330,118.14,-156.57,46.74,201.63
2020-09-08 22:9:02.2330,118.32,-156.52,46.77,201.71
2020-09-08 22:9:02.3330,118.38,-156.61,46.62,201.78
2020-09-08 22:9:02.4330,118.37,-156.63,46.71,201.81
2020-09-08 22:9:02.5340,118.34,-156.34,46.88,201.61
2020-09-08 22:9:02.6330,118.5,-156.67,46.81,201.94
2020-09-08 22:9:02.7330,118.17,-156.54,46.79,201.64
2020-09-08 22:9:02.8330,118.2,-156.78,46.94,201.88
2020-09-08 22:9:02.9340,118.46,-156.79,46.81,202.01
2020-09-08 22:9:03.0340,118.46,-156.77,46.69,201.96
2020-09-08 22:9:03.1340,118.43,-156.72,46.89,201.96
2020-09-08 22:9:03.2340,117.92,-156.77,46.86,201.69
2020-09-08 22:9:03.3340,118.22,-156.42,46.67,201.55
