time,Bx,By,Bz,Btotal
2020-09-08 16:29:51.3050,-15.91,0.11,-28.77,32.88
2020-09-08 16:29:51.4060,-15.75,0.03,-29.12,33.11
2020-09-08 16:29:51.5060,-15.68,0.03,-28.86,32.85
2020-09-08 16:29:51.6060,-15.66,0.22,-28.8,32.79
2020-09-08 16:29:51.7060,-15.82,0.14,-28.96,33.0
2020-09-08 16:29:51.8060,-15.86,0.27,-28.88,32.94
2020-09-08 16:29:51.9060,-15.57,0.27,-28.98,32.9
2020-09-08 16:29:52.0060,-15.48,0.37,-28.95,32.83
2020-09-08 16:29:52.1060,-15.41,0.22,-28.88,32.74
2020-09-08 16:29:52.2060,-15.42,0.04,-29.12,32.95
2020-09-08 16:29:52.3060,-15.76,0.31,-28.87,32.9
2020-09-08 16:29:52.4250,-15.52,0.14,-29.05,32.93
2020-09-08 16:29:52.5240,-15.51,0.3,-28.76,32.68
2020-09-08 16:29:52.6210,-15.52,0.45,-28.88,32.79
2020-09-08 16:29:52.7170,-15.56,-0.02,-28.87,32.8
2020-09-08 16:29:52.8200,-15.62,0.25,-29.04,32.97
2020-09-08 16:29:52.9110,-15.85,0.19,-28.92,32.98
2020-09-08 16:29:53.0110,-15.66,0.42,-28.99,32.95
2020-09-08 16:29:53.1090,-15.61,0.63,-28.96,32.9
2020-09-08 16:29:53.2070,-15.73,0.25,-29.05,33.04
2020-09-08 16:29:53.3080,-15.66,0.13,-29.05,33.0
2020-09-08 16:29:53.4070,-15.61,0.07,-29.13,33.05
2020-09-08 16:29:53.5090,-15.44,0.17,-29.16,32.99
2020-09-08 16:29:53.6110,-15.18,0.23,-29.14,32.86
2020-09-08 16:29:53.7180,-15.38,0.08,-29.02,32.84
2020-09-08 16:29:53.8220,-15.72,0.07,-29.07,33.05
2020-09-08 16:29:53.9150,-15.43,0.26,-28.89,32.75
2020-09-08 16:29:54.0140,-15.41,0.05,-28.91,32.76
2020-09-08 16:29:54.1140,-15.52,0.37,-28.89,32.79
2020-09-08 16:29:54.2100,-15.25,0.25,-28.99,32.76
2020-09-08 16:29:54.3070,-15.55,0.14,-28.86,32.78
2020-09-08 16:29:54.4120,-15.63,0.1,-28.93,32.88
