time,Bx,By,Bz,Btotal
2020-09-08 21:3:58.4780,71.01,20.18,-3.23,73.89
2020-09-08 21:3:58.5780,71.54,20.21,-3.26,74.41
2020-09-08 21:3:58.6780,71.72,20.13,-3.42,74.57
2020-09-08 21:3:58.7780,71.49,20.13,-3.38,74.35
2020-09-08 21:3:58.8780,71.69,19.98,-3.34,74.5
2020-09-08 21:3:58.9790,71.79,19.84,-3.42,74.56
2020-09-08 21:3:59.0790,71.76,20.01,-3.39,74.57
2020-09-08 21:3:59.1790,71.57,19.97,-3.37,74.38
2020-09-08 21:3:59.2790,71.61,20.02,-3.43,74.43
2020-09-08 21:3:59.3790,71.6,20.09,-3.44,74.44
2020-09-08 21:3:59.4790,71.55,20.11,-3.55,74.4
2020-09-08 21:3:59.5790,71.32,20.14,-3.1,74.18
2020-09-08 21:3:59.6790,71.43,19.96,-3.45,74.25
2020-09-08 21:3:59.7960,71.64,19.97,-3.35,74.45
2020-09-08 21:3:59.8920,71.17,20.1,-3.38,74.04
2020-09-08 21:3:59.9950,71.55,20.17,-3.5,74.42
2020-09-08 21:4:00.0900,71.71,20.2,-3.41,74.58
2020-09-08 21:4:00.1900,71.4,20.34,-3.48,74.32
2020-09-08 21:4:00.2930,71.31,20.04,-3.13,74.14
2020-09-08 21:4:00.3880,71.29,19.75,-3.61,74.06
2020-09-08 21:4:00.4930,71.31,19.86,-3.38,74.1
2020-09-08 21:4:00.5940,71.63,19.9,-3.43,74.42
2020-09-08 21:4:00.6920,71.54,19.82,-3.62,74.32
2020-09-08 21:4:00.7920,71.65,20.05,-3.52,74.49
2020-09-08 21:4:00.8910,71.41,19.79,-3.53,74.18
2020-09-08 21:4:00.9870,71.83,19.99,-3.34,74.63
2020-09-08 21:4:01.0830,71.39,20.1,-3.51,74.25
2020-09-08 21:4:01.1870,71.69,20.0,-3.67,74.51
2020-09-08 21:4:01.2860,71.43,20.02,-3.39,74.26
2020-09-08 21:4:01.3810,71.63,20.1,-3.34,74.47
2020-09-08 21:4:01.4810,71.84,20.06,-3.44,74.67
2020-09-08 21:4:01.5800,71.76,19.94,-3.27,74.55
2020-09-08 21:4:01.6810,71.67,19.88,-3.39,74.46
2020-09-08 21:4:01.7810,71.38,20.31,-3.15,74.28
2020-09-08 21:4:01.8800,71.33,19.98,-3.5,74.15
2020-09-08 21:4:01.9800,71.36,20.34,-3.3,74.27
2020-09-08 21:4:02.0820,71.71,20.03,-3.48,74.54
2020-09-08 21:4:02.1810,71.27,20.27,-3.56,74.19
2020-09-08 21:4:02.2820,71.48,20.05,-3.37,74.32
2020-09-08 21:4:02.3810,71.25,20.02,-3.53,74.1
2020-09-08 21:4:02.4810,71.33,19.87,-3.43,74.12
2020-09-08 21:4:02.5800,71.47,20.03,-3.31,74.3
2020-09-08 21:4:02.6800,71.22,20.14,-3.09,74.08
2020-09-08 21:4:02.7810,71.38,19.96,-3.32,74.19
2020-09-08 21:4:02.8800,71.53,19.88,-3.38,74.32
2020-09-08 21:4:02.9800,71.37,20.01,-3.23,74.19
2020-09-08 21:4:03.0800,71.36,19.95,-3.2,74.16
2020-09-08 21:4:03.1800,71.69,20.05,-3.46,74.52
2020-09-08 21:4:03.2810,71.66,19.98,-3.36,74.47
2020-09-08 21:4:03.3810,71.48,20.15,-3.48,74.35
2020-09-08 21:4:03.4800,71.52,19.98,-3.09,74.33
2020-09-08 21:4:03.5810,71.71,20.21,-3.27,74.58
2020-09-08 21:4:03.6810,71.37,19.97,-3.05,74.18
2020-09-08 21:4:03.7810,71.63,19.94,-3.2,74.43
2020-09-08 21:4:03.8810,71.56,20.08,-3.21,74.39
