time,Bx,By,Bz,Btotal
2020-09-08 21:12:51.8330,23.22,8.97,0.92,24.91
2020-09-08 21:12:51.9330,23.36,9.06,0.99,25.08
2020-09-08 21:12:52.0330,23.37,8.7,0.73,24.95
2020-09-08 21:12:52.1330,23.61,8.74,1.01,25.2
2020-09-08 21:12:52.2330,23.54,8.83,0.72,25.15
2020-09-08 21:12:52.3330,23.74,8.79,0.93,25.34
2020-09-08 21:12:52.4330,23.6,8.77,0.74,25.19
2020-09-08 21:12:52.5330,23.56,8.82,0.77,25.17
2020-09-08 21:12:52.6330,23.6,8.54,0.73,25.11
2020-09-08 21:12:52.7330,23.65,8.83,0.98,25.27
2020-09-08 21:12:52.8330,23.73,8.66,0.97,25.28
2020-09-08 21:12:52.9330,23.2,8.77,0.64,24.81
2020-09-08 21:12:53.0340,23.72,8.77,0.74,25.3
2020-09-08 21:12:53.1340,23.97,8.89,0.89,25.58
2020-09-08 21:12:53.2330,23.79,8.87,0.76,25.4
2020-09-08 21:12:53.3340,23.95,8.87,0.96,25.56
2020-09-08 21:12:53.4340,23.61,8.72,0.71,25.18
2020-09-08 21:12:53.5340,23.47,8.86,0.83,25.1
2020-09-08 21:12:53.6330,23.73,8.73,0.91,25.3
2020-09-08 21:12:53.7340,23.29,8.97,0.66,24.97
2020-09-08 21:12:53.8340,23.65,8.65,0.63,25.19
2020-09-08 21:12:53.9340,23.67,8.61,0.81,25.2
2020-09-08 21:12:54.0340,23.95,8.77,0.73,25.52
2020-09-08 21:12:54.1340,23.83,8.64,0.59,25.35
2020-09-08 21:12:54.2340,23.85,8.46,0.64,25.32
2020-09-08 21:12:54.3340,23.81,8.55,0.66,25.31
2020-09-08 21:12:54.4340,23.53,8.72,0.6,25.1
2020-09-08 21:12:54.5340,23.52,8.98,0.84,25.19
2020-09-08 21:12:54.6350,23.56,8.66,0.97,25.12
2020-09-08 21:12:54.7490,23.74,9.03,0.91,25.42
2020-09-08 21:12:54.8540,23.52,8.98,0.81,25.19
2020-09-08 21:12:54.9540,23.44,8.87,0.88,25.08
2020-09-08 21:12:55.0520,23.31,8.89,0.8,24.96
2020-09-08 21:12:55.1460,23.56,8.94,0.7,25.21
2020-09-08 21:12:55.2450,23.62,8.68,0.65,25.17
2020-09-08 21:12:55.3440,23.78,8.92,0.68,25.41
2020-09-08 21:12:55.4430,23.93,8.53,0.73,25.41
2020-09-08 21:12:55.5430,23.74,8.68,0.9,25.3
2020-09-08 21:12:55.6430,23.74,8.74,0.69,25.31
2020-09-08 21:12:55.7470,23.79,8.7,0.72,25.34
2020-09-08 21:12:55.8460,23.46,9.05,0.99,25.16
2020-09-08 21:12:55.9410,23.6,8.92,0.73,25.24
2020-09-08 21:12:56.0450,23.42,8.83,0.73,25.04
2020-09-08 21:12:56.1450,23.63,8.92,0.65,25.26
2020-09-08 21:12:56.2390,23.63,8.78,0.89,25.23
2020-09-08 21:12:56.3390,23.76,8.83,0.73,25.36
2020-09-08 21:12:56.4440,23.82,9.07,0.7,25.49
2020-09-08 21:12:56.5370,23.8,8.99,0.57,25.45
2020-09-08 21:12:56.6430,23.74,9.09,0.64,25.43
2020-09-08 21:12:56.7390,23.8,8.98,0.7,25.45
2020-09-08 21:12:56.8380,23.81,8.68,0.65,25.35
2020-09-08 21:12:56.9420,23.72,8.82,0.59,25.31
2020-09-08 21:12:57.0350,23.61,8.95,0.63,25.26
2020-09-08 21:12:57.1400,23.59,8.95,0.59,25.24
2020-09-08 21:12:57.2430,23.58,9.21,0.7,25.32
2020-09-08 21:12:57.3360,23.64,9.14,0.77,25.35
2020-09-08 21:12:57.4380,23.75,9.43,0.84,25.57
2020-09-08 21:12:57.5370,23.66,9.25,0.79,25.42
2020-09-08 21:12:57.6420,23.79,9.11,0.68,25.49
2020-09-08 21:12:57.7360,23.71,8.84,0.86,25.32
2020-09-08 21:12:57.8360,23.62,9.04,0.89,25.31
2020-09-08 21:12:57.9360,23.97,8.83,0.83,25.56
2020-09-08 21:12:58.0360,23.44,9.08,1.23,25.17
