time,Bx,By,Bz,Btotal
2020-09-08 22:17:15.2420,19.82,0.22,-7.2,21.09
2020-09-08 22:17:15.3420,19.01,0.29,-7.1,20.3
2020-09-08 22:17:15.4420,20.02,0.21,-6.95,21.19
2020-09-08 22:17:15.5420,19.76,0.53,-7.0,20.97
2020-09-08 22:17:15.6420,19.43,0.46,-7.22,20.73
2020-09-08 22:17:15.7420,19.76,0.38,-7.15,21.02
2020-09-08 22:17:15.8420,19.74,0.34,-7.07,20.97
2020-09-08 22:17:15.9420,19.79,0.33,-7.19,21.06
2020-09-08 22:17:16.0420,19.73,0.35,-7.02,20.95
2020-09-08 22:17:16.1420,19.99,0.13,-7.1,21.21
2020-09-08 22:17:16.2420,19.86,0.22,-7.27,21.15
2020-09-08 22:17:16.3420,19.77,0.05,-7.14,21.02
2020-09-08 22:17:16.4420,19.77,0.07,-7.18,21.03
2020-09-08 22:17:16.5430,19.75,0.07,-7.17,21.01
2020-09-08 22:17:16.6430,19.89,0.2,-7.21,21.16
2020-09-08 22:17:16.7430,19.86,0.08,-7.32,21.17
2020-09-08 22:17:16.8430,19.96,0.24,-7.26,21.24
2020-09-08 22:17:16.9430,19.69,0.28,-7.01,20.9
2020-09-08 22:17:17.0430,19.94,0.2,-7.09,21.16
2020-09-08 22:17:17.1430,19.76,0.13,-7.33,21.07
2020-09-08 22:17:17.2430,19.78,0.07,-7.26,21.07
2020-09-08 22:17:17.3430,19.76,0.16,-7.06,20.99
2020-09-08 22:17:17.4430,20.23,-0.04,-7.11,21.44
2020-09-08 22:17:17.5430,20.01,0.08,-7.56,21.39
2020-09-08 22:17:17.6430,19.9,-0.04,-7.16,21.15
2020-09-08 22:17:17.7430,19.58,0.3,-7.33,20.91
2020-09-08 22:17:17.8430,19.9,0.25,-7.26,21.18
2020-09-08 22:17:17.9430,19.72,0.04,-7.12,20.97
2020-09-08 22:17:18.0430,19.82,0.02,-7.16,21.07
2020-09-08 22:17:18.1440,19.35,0.48,-7.12,20.62
2020-09-08 22:17:18.2440,19.9,-0.1,-7.2,21.16
2020-09-08 22:17:18.3430,19.83,0.05,-7.31,21.13
2020-09-08 22:17:18.4440,19.66,0.09,-6.98,20.86
2020-09-08 22:17:18.5620,19.69,0.27,-7.2,20.96
2020-09-08 22:17:18.6570,19.59,0.1,-7.24,20.89
2020-09-08 22:17:18.7610,19.58,0.22,-7.28,20.89
2020-09-08 22:17:18.8610,19.58,0.26,-7.21,20.87
2020-09-08 22:17:18.9600,19.29,0.25,-7.08,20.55
2020-09-08 22:17:19.0600,19.52,0.13,-7.2,20.81
2020-09-08 22:17:19.1600,19.71,0.08,-7.23,21.0
2020-09-08 22:17:19.2530,19.51,0.3,-7.03,20.75
2020-09-08 22:17:19.3590,19.51,0.01,-7.14,20.77
2020-09-08 22:17:19.4580,19.61,0.22,-7.23,20.9
2020-09-08 22:17:19.5540,19.6,0.42,-7.15,20.87
2020-09-08 22:17:19.6530,19.86,0.21,-7.25,21.14
2020-09-08 22:17:19.7530,19.4,0.26,-7.22,20.7
2020-09-08 22:17:19.8480,19.74,0.29,-7.17,21.0
2020-09-08 22:17:19.9450,19.65,0.16,-7.17,20.92
2020-09-08 22:17:20.0470,19.74,0.31,-7.12,20.99
2020-09-08 22:17:20.1460,19.84,0.22,-7.18,21.1
2020-09-08 22:17:20.2490,19.79,0.13,-7.22,21.07
2020-09-08 22:17:20.3500,19.85,0.41,-7.39,21.18
2020-09-08 22:17:20.4520,19.48,0.67,-6.87,20.66
