time,Bx,By,Bz,Btotal
2020-09-08 15:57:26.4880,17.39,8.8,3.61,19.83
2020-09-08 15:57:26.5810,16.98,8.96,3.57,19.53
2020-09-08 15:57:26.6860,17.38,8.78,3.38,19.76
2020-09-08 15:57:26.7820,17.23,8.74,3.22,19.59
2020-09-08 15:57:26.8820,17.19,8.78,3.52,19.62
2020-09-08 15:57:26.9810,17.75,8.63,3.65,20.07
2020-09-08 15:57:27.0780,17.42,8.69,3.5,19.78
2020-09-08 15:57:27.1800,17.33,8.79,3.74,19.79
2020-09-08 15:57:27.2780,17.21,8.66,3.77,19.63
2020-09-08 15:57:27.3790,17.46,8.58,3.21,19.71
2020-09-08 15:57:27.4770,17.2,8.53,3.57,19.53
2020-09-08 15:57:27.5780,17.39,8.5,3.62,19.69
2020-09-08 15:57:27.6780,17.4,8.62,3.72,19.77
2020-09-08 15:57:27.7780,17.33,8.72,3.55,19.73
2020-09-08 15:57:27.8780,17.52,8.75,3.65,19.92
2020-09-08 15:57:27.9780,17.37,8.72,3.7,19.78
2020-09-08 15:57:28.0780,17.27,8.8,3.59,19.71
2020-09-08 15:57:28.1780,17.34,8.73,3.52,19.73
2020-09-08 15:57:28.2780,17.36,8.8,3.6,19.79
2020-09-08 15:57:28.3780,17.55,8.82,3.55,19.96
2020-09-08 15:57:28.4780,17.22,8.6,3.46,19.56
2020-09-08 15:57:28.5780,17.35,8.67,3.42,19.69
2020-09-08 15:57:28.6780,17.03,8.78,3.4,19.46
2020-09-08 15:57:28.7790,17.52,8.69,3.5,19.86
2020-09-08 15:57:28.8780,17.46,8.66,3.57,19.82
2020-09-08 15:57:28.9790,17.54,8.63,3.55,19.86
2020-09-08 15:57:29.0790,17.34,8.79,3.46,19.75
2020-09-08 15:57:29.1790,17.45,8.73,3.79,19.87
2020-09-08 15:57:29.2790,17.68,8.72,3.67,20.05
2020-09-08 15:57:29.3790,17.45,9.02,3.47,19.95
2020-09-08 15:57:29.4790,17.34,8.85,3.5,19.78
2020-09-08 15:57:29.5790,17.01,8.93,3.46,19.52
2020-09-08 15:57:29.6790,17.48,8.6,3.68,19.82
