time,Bx,By,Bz,Btotal
2020-09-08 16:14:11.4870,12.97,22.07,-2.45,25.72
2020-09-08 16:14:11.5870,12.77,22.05,-2.09,25.56
2020-09-08 16:14:11.6870,12.74,22.0,-2.23,25.52
2020-09-08 16:14:11.7870,12.9,22.08,-2.26,25.67
2020-09-08 16:14:11.8870,12.72,22.21,-2.31,25.69
2020-09-08 16:14:11.9870,12.94,22.24,-2.42,25.84
2020-09-08 16:14:12.0870,12.44,22.16,-2.28,25.52
2020-09-08 16:14:12.1870,12.71,22.15,-2.3,25.63
2020-09-08 16:14:12.2870,12.36,22.49,-2.24,25.76
2020-09-08 16:14:12.3870,12.44,22.19,-2.29,25.55
2020-09-08 16:14:12.4870,12.97,22.02,-2.42,25.67
2020-09-08 16:14:12.5880,12.71,22.29,-2.09,25.74
2020-09-08 16:14:12.6870,12.61,22.24,-2.2,25.66
2020-09-08 16:14:12.7870,12.86,22.05,-2.32,25.63
2020-09-08 16:14:12.8880,12.81,22.17,-2.38,25.72
2020-09-08 16:14:12.9870,12.63,22.38,-2.29,25.8
2020-09-08 16:14:13.0880,12.56,22.23,-2.36,25.64
2020-09-08 16:14:13.1870,12.83,22.07,-2.27,25.63
2020-09-08 16:14:13.2880,12.91,22.24,-2.57,25.84
2020-09-08 16:14:13.3880,12.92,22.21,-2.28,25.8
2020-09-08 16:14:13.5070,12.88,22.38,-2.48,25.95
2020-09-08 16:14:13.6070,12.94,22.2,-2.42,25.81
2020-09-08 16:14:13.7060,12.95,22.05,-2.27,25.67
2020-09-08 16:14:13.8030,13.0,22.32,-2.29,25.93
2020-09-08 16:14:13.8990,13.0,22.25,-2.45,25.88
2020-09-08 16:14:14.0020,12.69,22.32,-2.13,25.76
2020-09-08 16:14:14.1010,12.98,22.25,-2.05,25.84
2020-09-08 16:14:14.2010,12.95,22.24,-2.29,25.83
2020-09-08 16:14:14.3010,12.9,22.25,-2.16,25.81
2020-09-08 16:14:14.4030,12.83,22.25,-2.15,25.77
2020-09-08 16:14:14.4960,12.59,22.6,-2.09,25.96
2020-09-08 16:14:14.5990,12.94,22.05,-2.39,25.68
