time,Bx,By,Bz,Btotal
2020-09-08 16:0:31.5880,16.47,5.97,5.24,18.28
2020-09-08 16:0:31.6890,16.25,5.83,5.07,18.0
2020-09-08 16:0:31.7890,16.08,5.87,4.94,17.82
2020-09-08 16:0:31.9100,16.43,5.71,5.04,18.11
2020-09-08 16:0:32.0070,16.17,5.84,5.06,17.92
2020-09-08 16:0:32.1030,16.15,5.82,5.03,17.89
2020-09-08 16:0:32.2060,16.23,5.64,5.08,17.92
2020-09-08 16:0:32.3050,16.26,5.97,5.28,18.11
2020-09-08 16:0:32.4010,16.32,6.14,5.11,18.17
2020-09-08 16:0:32.5040,16.2,6.05,4.97,18.0
2020-09-08 16:0:32.6040,16.02,5.95,5.33,17.9
2020-09-08 16:0:32.7040,16.15,6.03,5.14,17.98
2020-09-08 16:0:32.7990,16.21,5.96,5.09,18.0
2020-09-08 16:0:32.9020,16.13,5.78,5.03,17.86
2020-09-08 16:0:32.9980,15.97,5.55,5.08,17.66
2020-09-08 16:0:33.1020,16.12,5.94,5.24,17.96
2020-09-08 16:0:33.2030,16.1,5.93,5.18,17.92
2020-09-08 16:0:33.3010,15.93,5.87,4.97,17.69
2020-09-08 16:0:33.3970,16.12,6.04,5.01,17.92
2020-09-08 16:0:33.4940,16.24,5.8,5.22,18.02
2020-09-08 16:0:33.5930,16.09,5.87,5.19,17.9
2020-09-08 16:0:33.6930,16.27,5.8,4.96,17.97
2020-09-08 16:0:33.7960,16.49,5.85,5.15,18.24
2020-09-08 16:0:33.8910,16.45,5.94,5.24,18.26
2020-09-08 16:0:33.9950,16.17,5.79,5.08,17.91
2020-09-08 16:0:34.0900,16.44,5.8,5.21,18.19
2020-09-08 16:0:34.1900,16.32,5.84,5.02,18.04
2020-09-08 16:0:34.2930,16.51,5.81,5.09,18.23
2020-09-08 16:0:34.3900,16.27,5.99,5.36,18.15
2020-09-08 16:0:34.4900,15.88,5.87,5.27,17.73
2020-09-08 16:0:34.5920,16.11,6.05,5.15,17.96
2020-09-08 16:0:34.6940,16.2,5.93,5.3,18.04
2020-09-08 16:0:34.7900,16.12,5.85,5.12,17.89
2020-09-08 16:0:34.8900,16.22,6.2,5.18,18.12
